// Initial random seed:
5497179452376

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'x');
initializeMutationType(1, 0.5, "n", 0, 1);
initializeMutationType(2, 0.5, "n", 0, 1);
initializeGenomicElementType(1, c(m1, m2), c(10, 1));
initializeGenomicElement(g1, 0, 99999);
initializeMutationRate(1e-07);
initializeRecombinationRate(1e-08);

// Starting run at generation <start>:
1 

gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1 	  0.00 	  0.00	  0.00	  0.00     1000       10  1.00  0.40 
    2 	  0.00 	  0.00	  0.00	  0.00     1011       13  1.00  0.40 
    3 	 -0.00 	  0.00	  0.01	  0.00     1009       12  1.00  0.40 
    4 	 -0.00 	  0.00	  0.01	  0.00      976       11  1.00  0.40 
    5 	  0.00 	  0.00	  0.03	  0.00      980       11  1.00  0.40 
    6 	 -0.01 	  0.00	  0.04	  0.00     1019       14  1.00  0.40 
    7 	 -0.02 	  0.00	  0.04	  0.00     1025       11  1.00  0.40 
    8 	 -0.01 	  0.00	  0.05	  0.00     1005       11  1.00  0.40 
    9 	 -0.03 	  0.00	  0.06	  0.00     1042       16  1.00  0.40 
   10 	 -0.04 	  0.00	  0.05	  0.00     1015        9  1.00  0.40 
   11 	 -0.03 	  0.00	  0.05	  0.00      965        7  1.00  0.40 
   12 	 -0.04 	  0.00	  0.05	  0.00     1018       13  1.00  0.40 
   13 	 -0.05 	  0.00	  0.05	  0.00     1003       10  1.00  0.40 
   14 	 -0.05 	  0.00	  0.06	  0.00     1013        9  1.00  0.40 
   15 	 -0.04 	  0.00	  0.07	  0.00      991        8  1.00  0.40 
   16 	 -0.04 	  0.00	  0.08	  0.00     1032       11  1.00  0.40 
   17 	 -0.04 	  0.00	  0.08	  0.00     1025       10  1.00  0.40 
   18 	 -0.06 	  0.00	  0.10	  0.00     1017       12  1.00  0.40 
   19 	 -0.07 	  0.00	  0.12	  0.00      988        6  1.00  0.40 
   20 	 -0.06 	  0.00	  0.13	  0.00      996        9  1.00  0.40 
   21 	 -0.06 	  0.00	  0.14	  0.00      968        4  1.00  0.40 
   22 	 -0.05 	  0.00	  0.14	  0.00     1052        8  1.00  0.40 
   23 	 -0.05 	  0.00	  0.15	  0.00     1015       13  1.00  0.40 
   24 	 -0.05 	  0.00	  0.15	  0.00     1047       10  1.00  0.40 
   25 	 -0.04 	  0.00	  0.17	  0.00     1035        9  1.00  0.40 
   26 	 -0.05 	  0.00	  0.18	  0.00      981        7  1.00  0.40 
   27 	 -0.03 	  0.00	  0.19	  0.00      999        9  1.00  0.40 
   28 	 -0.03 	  0.00	  0.20	  0.00     1012       11  1.00  0.40 
   29 	 -0.03 	  0.00	  0.21	  0.00      988       13  1.00  0.40 
   30 	 -0.02 	  0.00	  0.21	  0.00      967        9  1.00  0.40 
   31 	 -0.00 	  0.00	  0.22	  0.00      996       10  1.00  0.40 
   32 	 -0.00 	  0.00	  0.21	  0.00      977        9  1.00  0.40 
   33 	 -0.01 	  0.00	  0.21	  0.00     1033       13  1.00  0.40 
   34 	 -0.02 	  0.00	  0.23	  0.00      998        9  1.00  0.40 
   35 	 -0.04 	  0.00	  0.25	  0.00      997       10  1.00  0.40 
   36 	 -0.04 	  0.00	  0.25	  0.00     1011        9  1.00  0.40 
   37 	 -0.03 	  0.00	  0.27	  0.00      967       12  1.00  0.40 
   38 	 -0.02 	  0.00	  0.26	  0.00     1057       13  1.00  0.40 
   39 	 -0.01 	  0.00	  0.27	  0.00      982       10  1.00  0.40 
   40 	  0.00 	  0.00	  0.29	  0.00     1001        7  1.00  0.40 
   41 	  0.02 	  0.00	  0.31	  0.00     1041       10  1.00  0.40 
   42 	  0.00 	  0.00	  0.31	  0.00     1047       12  1.00  0.40 
   43 	 -0.01 	  0.00	  0.32	  0.00     1034       10  1.00  0.40 
   44 	 -0.01 	  0.00	  0.30	  0.00      978        7  1.00  0.40 
   45 	 -0.01 	  0.00	  0.27	  0.00     1052        7  1.00  0.40 
   46 	 -0.01 	  0.00	  0.27	  0.00     1029       10  1.00  0.40 
   47 	  0.01 	  0.00	  0.29	  0.00     1043       14  1.00  0.40 
   48 	  0.02 	  0.00	  0.29	  0.00      976        5  1.00  0.40 
