// Initial random seed:
5491059212339

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'x');
initializeMutationType(1, 0.5, "n", 0, 1);
initializeMutationType(2, 0.5, "n", 0, 1);
initializeGenomicElementType(1, c(m1, m2), c(10, 1));
initializeGenomicElement(g1, 0, 99999);
initializeMutationRate(1e-07);
initializeRecombinationRate(1e-08);

// Starting run at generation <start>:
1 

gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1 	  0.00 	  0.00	  0.00	  0.00      100      100  1.00  0.40 
    2 	  0.00 	  0.00	  0.00	  0.00       78      107  1.00  0.40 
    3 	  0.00 	  0.00	  0.00	  0.00       98       99  1.00  0.40 
    4 	  0.00 	  0.00	  0.00	  0.00      106      103  1.00  0.40 
    5 	  0.00 	  0.00	  0.01	  0.01       94       87  1.00  0.40 
    6 	  0.00 	  0.01	  0.01	  0.03      113      101  1.00  0.40 
    7 	 -0.02 	  0.00	  0.03	  0.01      101      104  1.00  0.40 
    8 	 -0.03 	  0.00	  0.04	  0.00      106      100  1.00  0.40 
    9 	 -0.02 	  0.00	  0.05	  0.00      101      100  1.00  0.40 
   10 	 -0.05 	  0.00	  0.06	  0.00      105       95  1.00  0.40 
   11 	 -0.07 	  0.00	  0.08	  0.00      112      107  1.00  0.40 
   12 	 -0.04 	  0.03	  0.12	  0.01      100       87  1.00  0.40 
   13 	 -0.04 	  0.03	  0.16	  0.01       96       84  1.00  0.40 
   14 	 -0.06 	  0.02	  0.27	  0.01       97      103  1.00  0.40 
   15 	 -0.11 	  0.02	  0.31	  0.01      111      102  1.00  0.40 
   16 	 -0.10 	  0.00	  0.41	  0.00       92      100  1.00  0.40 
   17 	 -0.06 	  0.00	  0.46	  0.00      101       89  1.00  0.40 
   18 	 -0.05 	  0.00	  0.56	  0.00      102      105  1.00  0.40 
   19 	 -0.18 	  0.00	  0.77	  0.00       88       95  1.00  0.40 
   20 	 -0.33 	  0.00	  0.90	  0.00       89       90  1.00  0.40 
   21 	 -0.42 	  0.00	  0.98	  0.00      111      100  1.00  0.40 
   22 	 -0.60 	  0.00	  1.03	  0.00      106       88  1.00  0.40 
   23 	 -0.46 	  0.00	  1.03	  0.00       91      107  1.00  0.40 
   24 	 -0.54 	  0.00	  1.08	  0.00      110      100  1.00  0.40 
   25 	 -0.57 	  0.00	  1.17	  0.00       98      104  1.00  0.40 
   26 	 -0.76 	  0.00	  1.24	  0.00      109       99  1.00  0.40 
   27 	 -0.69 	  0.00	  1.28	  0.00       98      104  1.00  0.40 
   28 	 -0.86 	  0.00	  1.28	  0.00       99       88  1.00  0.40 
   29 	 -1.02 	  0.00	  1.25	  0.00       98      105  1.00  0.40 
   30 	 -1.10 	  0.00	  1.30	  0.00      106       95  1.00  0.40 
   31 	 -1.17 	  0.00	  1.34	  0.00      103      108  1.00  0.40 
   32 	 -1.25 	  0.00	  1.34	  0.00       86       98  1.00  0.40 
   33 	 -1.25 	  0.00	  1.32	  0.00       98       96  1.00  0.40 
   34 	 -1.20 	  0.00	  1.33	  0.00       89      112  1.00  0.40 
   35 	 -1.23 	  0.00	  1.30	  0.00       99       93  1.00  0.40 
   36 	 -1.23 	  0.00	  1.32	  0.00       92       94  1.00  0.40 
   37 	 -1.30 	  0.00	  1.31	  0.00       99       97  1.00  0.40 
   38 	 -1.44 	  0.00	  1.27	  0.00      101       90  1.00  0.40 
   39 	 -1.47 	  0.01	  1.28	  0.01      112       98  1.00  0.40 
   40 	 -1.50 	  0.01	  1.27	  0.01       98      103  1.00  0.40 
   41 	 -1.47 	  0.00	  1.28	  0.00       87      103  1.00  0.40 
   42 	 -1.54 	  0.00	  1.31	  0.00       97       93  1.00  0.40 
   43 	 -1.52 	  0.00	  1.25	  0.00       93      110  1.00  0.40 
   44 	 -1.62 	  0.00	  1.30	  0.00      107       99  1.00  0.40 
   45 	 -1.60 	 -0.03	  1.27	  0.01       98      101  1.00  0.40 
   46 	 -1.65 	 -0.05	  1.20	  0.02      102      102  1.00  0.40 
   47 	 -1.67 	 -0.01	  1.21	  0.01       98       98  1.00  0.40 
   48 	 -1.67 	 -0.02	  1.21	  0.02       97      107  1.00  0.40 
   49 	 -1.69 	 -0.02	  1.22	  0.02       97      105  1.00  0.40 
   50 	 -1.69 	 -0.02	  1.24	  0.02      100       99  1.00  0.40 
   51 	 -1.68 	 -0.02	  1.24	  0.05      101      101  1.00  0.40 
   52 	 -1.68 	 -0.06	  1.22	  0.07       96      103  1.00  0.40 
   53 	 -1.71 	 -0.08	  1.23	  0.09      104       91  1.00  0.40 
   54 	 -1.76 	 -0.09	  1.29	  0.11      104      105  1.00  0.40 
   55 	 -1.78 	 -0.14	  1.30	  0.16       97       88  1.00  0.40 
   56 	 -1.75 	 -0.13	  1.30	  0.15      103      115  1.00  0.40 
   57 	 -1.80 	 -0.26	  1.34	  0.27       99       91  1.00  0.40 
   58 	 -1.79 	 -0.30	  1.31	  0.30      101      107  1.00  0.40 
   59 	 -1.87 	 -0.40	  1.38	  0.37      111      100  1.00  0.40 
   60 	 -1.93 	 -0.51	  1.46	  0.43      119      103  1.00  0.40 
   61 	 -2.07 	 -0.63	  1.54	  0.47      102      102  1.00  0.40 
   62 	 -2.24 	 -0.64	  1.68	  0.48       96       90  1.00  0.40 
