// Initial random seed:
4344345593847

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'x');
initializeMutationType(1, 0.5, "n", 0, 1);
initializeMutationType(2, 0.5, "n", 0, 1);
initializeGenomicElementType(1, c(m1, m2), c(10, 1));
initializeGenomicElement(g1, 0, 99999);
initializeMutationRate(1e-07);
initializeRecombinationRate(1e-08);

// Starting run at generation <start>:
1 

gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1       0.00       0.00      0.00      0.00    10000       10  1.00  0.40 
    2      -0.00       0.00      0.01      0.00     9961       10  1.00  0.40 
    3      -0.00       0.00      0.02      0.00    10072       10  1.00  0.40 
    4      -0.00       0.00      0.03      0.00    10025       12  1.00  0.40 
    5      -0.00       0.00      0.05      0.00     9882        7  1.00  0.40 
    6       0.00       0.00      0.06      0.00     9995       10  1.00  0.40 
    7       0.00       0.00      0.07      0.00    10118        6  1.00  0.40 
    8       0.00       0.00      0.08      0.00    10048       10  1.00  0.40 
    9       0.00       0.00      0.10      0.00     9926        8  1.00  0.40 
   10       0.00       0.00      0.11      0.00    10047        4  1.00  0.40 
   11       0.01       0.00      0.13      0.00    10000        8  1.00  0.40 
   12       0.00       0.00      0.15      0.00     9902        7  1.00  0.40 
   13       0.00       0.00      0.17      0.00     9960       10  1.00  0.40 
   14       0.00       0.00      0.17      0.00     9974        8  1.00  0.40 
   15       0.00       0.00      0.19      0.00    10015       10  1.00  0.40 
   16       0.00       0.00      0.20      0.00     9993       15  1.00  0.40 
   17       0.00       0.00      0.20      0.00     9930        8  1.00  0.40 
   18       0.01       0.00      0.21      0.00     9964       10  1.00  0.40 
   19       0.01       0.00      0.23      0.00    10057        7  1.00  0.40 
   20       0.01       0.00      0.23      0.00    10019        8  1.00  0.40 
   21       0.01       0.00      0.24      0.00     9963       11  1.00  0.40 
   22       0.01       0.00      0.26      0.00     9873        8  1.00  0.40 
   23       0.01       0.00      0.28      0.00    10018        8  1.00  0.40 
   24       0.01       0.00      0.29      0.00    10104        7  1.00  0.40 
   25       0.02       0.00      0.29      0.00     9839        9  1.00  0.40 
   26       0.02       0.00      0.30      0.00    10259        6  1.00  0.40 
   27       0.01       0.00      0.31      0.00    10053       11  1.00  0.40 
   28       0.01       0.00      0.33      0.00     9964        9  1.00  0.40 
   29       0.01       0.00      0.34      0.00     9898       12  1.00  0.40 
   30       0.01       0.00      0.35      0.00    10046        9  1.00  0.40 
