// Initial random seed:
5363017836833

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'x');
initializeMutationType(1, 0.5, "n", 0, 1);
initializeMutationType(2, 0.5, "n", 0, 1);
initializeGenomicElementType(1, c(m1, m2), c(10, 1));
initializeGenomicElement(g1, 0, 99999);
initializeMutationRate(1e-07);
initializeRecombinationRate(1e-08);

// Starting run at generation <start>:
1 

gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1       0.00       0.00      0.00      0.00     1000     1000  1.00  0.40 
    2      -0.00       0.00      0.01      0.00     1051      964  1.00  0.40 
    3      -0.00       0.00      0.03      0.00     1027     1005  1.00  0.40 
    4      -0.01       0.00      0.05      0.00      967      979  1.00  0.40 
    5      -0.01       0.00      0.08      0.00      987      993  1.00  0.40 
    6      -0.01       0.00      0.11      0.00     1004      987  1.00  0.40 
    7      -0.03      -0.00      0.16      0.01     1019      984  1.00  0.40 
    8      -0.05       0.00      0.21      0.00      984      944  1.00  0.40 
    9      -0.08      -0.00      0.28      0.00      986     1014  1.00  0.40 
   10      -0.12      -0.00      0.40      0.00      980      998  1.00  0.40 
   11      -0.14       0.00      0.51      0.00     1002      989  1.00  0.40 
   12      -0.19       0.00      0.62      0.00      991      980  1.00  0.40 
   13      -0.28      -0.00      0.81      0.00      972     1001  1.00  0.40 
   14      -0.41       0.00      1.07      0.00      973     1023  1.00  0.40 
   15      -0.53       0.00      1.31      0.00      993     1030  1.00  0.40 
   16      -0.69       0.00      1.59      0.00     1030      986  1.00  0.40 
   17      -0.79       0.01      1.76      0.01     1017     1011  1.00  0.40 
   18      -0.87       0.01      1.92      0.02     1015     1004  1.00  0.40 
   19      -1.02       0.01      2.07      0.02      994     1001  1.00  0.40 
   20      -1.03       0.01      2.19      0.02      993     1023  1.00  0.40 
   21      -1.11       0.02      2.33      0.02      995      979  1.00  0.40 
   22      -1.13       0.01      2.41      0.02      972      967  1.00  0.40 
   23      -1.12       0.01      2.54      0.02      987     1001  1.00  0.40 
   24      -1.24       0.01      2.63      0.03      999      996  1.00  0.40 
   25      -1.28       0.00      2.76      0.03     1002      968  1.00  0.40 
   26      -1.35      -0.01      2.81      0.03     1026      983  1.00  0.40 
   27      -1.48      -0.01      2.84      0.05     1015     1030  1.00  0.40 
   28      -1.47      -0.02      2.87      0.05     1024     1004  1.00  0.40 
   29      -1.62      -0.03      2.92      0.06     1053      982  1.00  0.40 
   30      -1.62      -0.04      3.00      0.07     1002      966  1.00  0.40 
   31      -1.69      -0.05      3.04      0.08     1046      980  1.00  0.40 
   32      -1.73      -0.07      3.11      0.10     1010     1016  1.00  0.40 
   33      -1.77      -0.09      3.21      0.11      979      953  1.00  0.40 
   34      -1.77      -0.13      3.32      0.13     1002      975  1.00  0.40 
   35      -1.75      -0.15      3.37      0.15     1018     1043  1.00  0.40 
   36      -1.77      -0.19      3.41      0.18     1018      963  1.00  0.40 
   37      -1.70      -0.23      3.47      0.21     1005      999  1.00  0.40 
   38      -1.77      -0.29      3.48      0.25     1003      994  1.00  0.40 
   39      -1.69      -0.36      3.57      0.30     1008      990  1.00  0.40 
   40      -1.64      -0.44      3.60      0.34     1012     1005  1.00  0.40 
   41      -1.52      -0.53      3.70      0.40     1047      994  1.00  0.40 
   42      -1.41      -0.63      3.73      0.47      993      972  1.00  0.40 
   43      -1.44      -0.74      3.70      0.54      999      993  1.00  0.40 
   44      -1.24      -0.89      3.82      0.60      970      995  1.00  0.40 
   45      -1.13      -1.02      3.91      0.66     1000     1004  1.00  0.40 
   46      -0.99      -1.20      3.95      0.73      979     1016  1.00  0.40 
   47      -0.88      -1.37      4.04      0.79     1006     1021  1.00  0.40 
   48      -0.61      -1.49      4.09      0.82      986      999  1.00  0.40 
   49      -0.38      -1.67      4.13      0.88     1015      984  1.00  0.40 
   50      -0.07      -1.83      4.22      0.93     1023     1012  1.00  0.40 
   51       0.38      -1.96      4.39      0.94      999      988  1.00  0.40 
   52       0.68      -2.05      4.51      0.95      977      996  1.00  0.40 
   53       1.06      -2.15      4.65      0.98      956     1006  1.00  0.40 
   54       1.54      -2.24      4.82      0.96      985     1021  1.00  0.40 
   55       1.92      -2.26      4.84      0.97     1004     1001  1.00  0.40 
   56       2.20      -2.36      4.89      0.98     1005      993  1.00  0.40 
   57       2.34      -2.39      4.89      0.97     1002     1003  1.00  0.40 
   58       2.55      -2.43      4.88      0.99      959     1032  1.00  0.40 
   59       2.80      -2.49      4.89      0.98      993      997  1.00  0.40 
   60       2.90      -2.48      4.91      0.97     1010      932  1.00  0.40 
