// Initial random seed:
5607690041152

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'x');
initializeMutationType(1, 0.5, "n", 0, 1);
initializeMutationType(2, 0.5, "n", 0, 1);
initializeGenomicElementType(1, c(m1, m2), c(10, 1));
initializeGenomicElement(g1, 0, 99999);
initializeMutationRate(1e-07);
initializeRecombinationRate(1e-08);

// Starting run at generation <start>:
1 

gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1       0.00       0.00      0.00      0.00     1000    10000  1.00  0.40 
    2       0.00       0.00      0.02      0.00      992    10024  1.00  0.40 
    3       0.02       0.00      0.09      0.00      931    10067  1.00  0.40 
    4       0.06      -0.00      0.27      0.00      906    10079  1.00  0.40 
    5       0.15      -0.00      0.68      0.00      875     9879  1.00  0.40 
    6       0.34       0.00      1.44      0.00      905     9966  1.00  0.40 
    7       0.46       0.00      1.91      0.00      968     9873  1.00  0.40 
    8       0.48       0.00      2.02      0.01     1049    10058  1.00  0.40 
    9       0.44       0.00      2.03      0.01      983    10010  1.00  0.40 
   10       0.42       0.00      2.07      0.01     1035     9899  1.00  0.40 
   11       0.37       0.01      2.06      0.01      982    10037  1.00  0.40 
   12       0.22       0.01      2.04      0.02     1005     9900  1.00  0.40 
   13       0.27       0.01      2.05      0.02      988    10015  1.00  0.40 
   14       0.32       0.01      2.05      0.02      997    10210  1.00  0.40 
   15       0.38       0.01      2.03      0.03     1004    10009  1.00  0.40 
   16       0.45       0.02      2.00      0.03      998    10039  1.00  0.40 
   17       0.52       0.02      1.99      0.04      991     9884  1.00  0.40 
   18       0.53       0.02      1.97      0.05     1026     9953  1.00  0.40 
   19       0.53       0.03      1.99      0.06      995     9920  1.00  0.40 
   20       0.50       0.04      1.99      0.07     1004     9982  1.00  0.40 
   21       0.38       0.06      2.02      0.08     1000     9820  1.00  0.40 
   22       0.37       0.07      2.02      0.10     1038    10022  1.00  0.40 
   23       0.34       0.07      2.02      0.11      985     9997  1.00  0.40 
   24       0.42       0.08      2.01      0.13      961    10053  1.00  0.40 
   25       0.55       0.10      2.00      0.16     1001    10003  1.00  0.40 
   26       0.63       0.11      2.00      0.18      976    10013  1.00  0.40 
   27       0.71       0.13      2.02      0.21      927     9961  1.00  0.40 
   28       0.75       0.15      2.06      0.24      991     9928  1.00  0.40 
   29       0.72       0.17      2.02      0.29      974     9828  1.00  0.40 
   30       0.79       0.18      2.03      0.32      986    10019  1.00  0.40 
   31       0.70       0.20      2.04      0.37      970    10062  1.00  0.40 
   32       0.57       0.20      2.03      0.43      948     9954  1.00  0.40 
   33       0.59       0.19      2.07      0.47     1004     9897  1.00  0.40 
   34       0.68       0.18      2.07      0.53      983     9900  1.00  0.40 
   35       0.67       0.16      2.12      0.58      987    10018  1.00  0.40 
   36       0.84       0.15      2.13      0.63      981     9962  1.00  0.40 
   37       0.92       0.15      2.15      0.69     1008    10059  1.00  0.40 
   38       1.02       0.15      2.16      0.73     1011    10078  1.00  0.40 
   39       1.28       0.19      2.22      0.78     1030     9923  1.00  0.40 
   40       1.42       0.19      2.22      0.82     1026    10049  1.00  0.40 
   41       1.56       0.28      2.27      0.86      981     9988  1.00  0.40 
   42       1.67       0.39      2.29      0.91     1000    10117  1.00  0.40 
   43       1.64       0.54      2.34      0.96     1003     9932  1.00  0.40 
   44       1.59       0.69      2.39      1.00      987     9908  1.00  0.40 
   45       1.61       0.84      2.47      1.04      992    10001  1.00  0.40 
   46       1.58       1.00      2.53      1.09     1021     9831  1.00  0.40 
   47       1.45       1.19      2.66      1.15     1020    10087  1.00  0.40 
   48       1.22       1.35      2.72      1.20      959    10027  1.00  0.40 
   49       0.84       1.49      2.82      1.24     1051    10025  1.00  0.40 
   50       0.62       1.60      2.89      1.28      997     9964  1.00  0.40 
   51       0.15       1.68      2.93      1.31     1015    10028  1.00  0.40 
   52      -0.19       1.69      3.09      1.33     1019    10224  1.00  0.40 
   53      -0.46       1.67      3.12      1.35     1032    10120  1.00  0.40 
   54      -0.71       1.59      3.24      1.36      972     9973  1.00  0.40 
   55      -0.92       1.48      3.28      1.37      991    10027  1.00  0.40 
   56      -1.07       1.31      3.36      1.37     1002    10018  1.00  0.40 
   57      -1.17       1.11      3.48      1.35     1007    10032  1.00  0.40 
   58      -1.20       0.90      3.49      1.35     1042     9982  1.00  0.40 
   59      -1.15       0.63      3.67      1.33     1004     9990  1.00  0.40 
   60      -0.98       0.36      3.78      1.31     1004     9956  1.00  0.40 
   61      -0.72       0.13      3.96      1.28     1017    10074  1.00  0.40 
   62      -0.45      -0.13      4.10      1.26      996     9841  1.00  0.40 
   63      -0.28      -0.38      4.18      1.24     1006    10043  1.00  0.40 
   64       0.13      -0.59      4.34      1.22     1038    10000  1.00  0.40 
   65       0.49      -0.80      4.46      1.19     1040     9890  1.00  0.40 
   66       0.90      -0.95      4.47      1.18      932    10111  1.00  0.40 
   67       1.45      -1.11      4.57      1.17     1021    10136  1.00  0.40 
   68       2.09      -1.22      4.56      1.15      996    10039  1.00  0.40 
   69       2.64      -1.30      4.62      1.16     1010    10045  1.00  0.40 
   70       3.12      -1.36      4.64      1.17     1039     9983  1.00  0.40 
   71       3.67      -1.39      4.67      1.18      963     9863  1.00  0.40 
   72       4.12      -1.38      4.60      1.19      958     9969  1.00  0.40 
   73       4.42      -1.36      4.60      1.21      986    10025  1.00  0.40 
   74       4.48      -1.28      4.63      1.23      988     9938  1.00  0.40 
   75       4.56      -1.18      4.62      1.25     1026    10024  1.00  0.40 
   76       4.74      -1.05      4.61      1.28      983     9933  1.00  0.40 
