// Initial random seed:
5182391066360

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'x');
initializeMutationType(1, 0.5, "n", 0, 1);
initializeMutationType(2, 0.5, "n", 0, 1);
initializeGenomicElementType(1, c(m1, m2), c(10, 1));
initializeGenomicElement(g1, 0, 99999);
initializeMutationRate(1e-07);
initializeRecombinationRate(1e-08);

// Starting run at generation <start>:
1 

gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1       0.00       0.00      0.00      0.00       10       10  1.00  0.40 
    2       0.00       0.00      0.00      0.00        7       11  1.00  0.40 
    3       0.00       0.00      0.00      0.00        9       12  1.00  0.40 
    4       0.00       0.00      0.00      0.00       14       10  1.00  0.40 
    5       0.00       0.00      0.00      0.00       10        8  1.00  0.40 
    6       0.00       0.00      0.00      0.00       10       11  1.00  0.40 
    7       0.00       0.00      0.00      0.00        7       10  1.00  0.40 
    8       0.00       0.00      0.00      0.00        9       10  1.00  0.40 
    9       0.00       0.00      0.00      0.00       10       10  1.00  0.40 
   10       0.00       0.00      0.00      0.00        9       12  1.00  0.40 
   11       0.00       0.00      0.00      0.00       11       12  1.00  0.40 
   12       0.00       0.00      0.00      0.00        6       10  1.00  0.40 
   13       0.00       0.00      0.00      0.00        6       10  1.00  0.40 
   14       0.00       0.00      0.00      0.00       10       13  1.00  0.40 
   15       0.00       0.00      0.00      0.00        6       14  1.00  0.40 
   16       0.00       0.00      0.00      0.00       13       10  1.00  0.40 
   17       0.00       0.00      0.00      0.00       10       13  1.00  0.40 
   18       0.00       0.00      0.00      0.00        7        6  1.00  0.40 
   19       0.00       0.00      0.00      0.00        9       11  1.00  0.40 
   20       0.00       0.00      0.00      0.00        8       11  1.00  0.40 
   21       0.00       0.00      0.00      0.00       14       14  1.00  0.40 
   22       0.00       0.00      0.00      0.00       11       12  1.00  0.40 
   23       0.00       0.00      0.00      0.00        6       13  1.00  0.40 
   24       0.00       0.00      0.00      0.00        7        8  1.00  0.40 
   25       0.00       0.00      0.00      0.00       10       12  1.00  0.40 
   26       0.00       0.00      0.00      0.00       10       12  1.00  0.40 
   27       0.00       0.00      0.00      0.00       11       11  1.00  0.40 
   28       0.00       0.00      0.00      0.00       12        9  1.00  0.40 
   29       0.00       0.00      0.00      0.00        8       13  1.00  0.40 
   30       0.00       0.00      0.00      0.00       10       11  1.00  0.40 
   31      -0.05       0.00      0.17      0.00       11       10  1.00  0.40 
   32       0.00       0.00      0.00      0.00       13       10  1.00  0.40 
   33       0.00       0.00      0.00      0.00       12       13  1.00  0.40 
   34       0.00       0.00      0.00      0.00       10       14  1.00  0.40 
   35       0.00       0.00      0.00      0.00       10       12  1.00  0.40 
   36       0.00       0.00      0.00      0.00        8        8  1.00  0.40 
   37       0.00       0.00      0.00      0.00       18       12  1.00  0.40 
   38       0.00       0.00      0.00      0.00       14        5  1.00  0.40 
   39       0.00       0.00      0.00      0.00       10       10  1.00  0.40 
   40       0.00       0.00      0.00      0.00        5        9  1.00  0.40 
   41       0.00       0.00      0.00      0.00        7       11  1.00  0.40 
   42       0.00       0.00      0.00      0.00        9       10  1.00  0.40 
   43       0.00       0.00      0.00      0.00        8        8  1.00  0.40 
   44       0.00       0.00      0.00      0.00        8        9  1.00  0.40 
   45       0.00       0.00      0.00      0.00       11        7  1.00  0.40 
   46       0.00       0.00      0.00      0.00       13       11  1.00  0.40 
   47      -0.02       0.00      0.15      0.00       13        9  1.00  0.40 
   48      -0.05       0.00      0.23      0.00       17       12  1.00  0.40 
   49      -0.16       0.00      0.44      0.00       12        8  1.00  0.40 
   50      -0.20       0.00      0.53      0.00       16       10  1.00  0.40 
   51      -0.23       0.00      0.60      0.00       11        8  1.00  0.40 
   52      -0.29       0.00      0.70      0.00       11        8  1.00  0.40 
   53      -0.10       0.00      0.31      0.00       12        6  1.00  0.40 
   54      -0.14       0.00      0.40      0.00        9       10  1.00  0.40 
   55      -0.14       0.00      0.40      0.00        9        9  1.00  0.40 
   56      -0.21       0.00      0.56      0.00        9       10  1.00  0.40 
   57      -0.24       0.00      0.61      0.00        8        7  1.00  0.40 
   58      -0.42       0.00      0.89      0.00        6       11  1.00  0.40 
   59      -0.40       0.00      0.87      0.00       11       10  1.00  0.40 
   60      -0.44       0.00      0.91      0.00       10        9  1.00  0.40 
   61      -0.43       0.00      0.91      0.00       13        9  1.00  0.40 
   62      -0.55       0.07      0.98      0.12        8        8  1.00  0.40 
   63      -0.63       0.14      1.00      0.22        9        8  1.00  0.40 
   64      -0.63       0.18      1.00      0.28       12       12  1.00  0.40 
   65      -0.63       0.00      1.00      0.00        8       11  1.00  0.40 
   66      -0.63       0.00      1.00      0.00       10        7  1.00  0.40 
   67      -0.63       0.00      1.00      0.00       12       11  1.00  0.40 
   68      -0.63       0.00      1.00      0.00       11       14  1.00  0.40 
   69      -0.71       0.00      1.17      0.00       11       12  1.00  0.40 
   70      -0.70       0.00      1.15      0.00       13       11  1.00  0.40 
   71      -0.76       0.00      1.27      0.00        7       11  1.00  0.40 
   72      -0.86       0.00      1.44      0.00        8        5  1.00  0.40 
   73      -0.93       0.00      1.56      0.00       12        8  1.00  0.40 
   74      -0.89       0.00      1.49      0.00       14       11  1.00  0.40 
   75      -0.97       0.00      1.61      0.00        8       12  1.00  0.40 
   76      -0.93       0.00      1.56      0.00        9       10  1.00  0.40 
   77      -0.96       0.00      1.59      0.00       14       11  1.00  0.40 
   78      -1.02       0.00      1.67      0.00        7       11  1.00  0.40 
   79      -1.01       0.00      1.66      0.00       12       11  1.00  0.40 
   80      -0.97       0.00      1.61      0.00        8       16  1.00  0.40 
   81      -0.90      -0.13      1.51      0.13       10        7  1.00  0.40 
   82      -0.72      -0.10      1.19      0.10       10        9  1.00  0.40 
   83      -0.78      -0.10      1.31      0.10        6        9  1.00  0.40 
   84      -0.89      -0.09      1.49      0.10        7       10  1.00  0.40 
   85      -0.86      -0.13      1.44      0.13       12       14  1.00  0.40 
   86      -0.74      -0.14      1.23      0.14        8       13  1.00  0.40 
   87      -0.74      -0.25      1.23      0.24        8       11  1.00  0.40 
   88      -0.63      -0.33      1.00      0.29       12       17  1.00  0.40 
   89      -0.63      -0.47      1.00      0.38       10       10  1.00  0.40 
   90      -0.63      -0.70      1.00      0.47        5        8  1.00  0.40 
   91      -0.63      -0.65      1.00      0.45       10       13  1.00  0.40 
   92      -0.63      -0.79      1.00      0.49       12       13  1.00  0.40 
   93      -0.63      -0.85      1.00      0.50        8       12  1.00  0.40 
   94      -0.63      -1.02      1.00      0.50       13       11  1.00  0.40 
   95      -0.63      -1.09      1.00      0.49        7       12  1.00  0.40 
   96      -0.63      -1.33      1.00      0.41        9        7  1.00  0.40 
   97      -0.63      -1.24      1.00      0.44       14       12  1.00  0.40 
   98      -0.63      -1.21      1.00      0.45        7       10  1.00  0.40 
   99      -0.69      -1.04      1.19      0.49       10        9  1.00  0.40 
  100      -0.69      -0.73      1.17      0.48       11        9  1.00  0.40 
  101      -0.76      -0.53      1.36      0.41        5        7  1.00  0.40 
  102      -0.69      -0.35      1.17      0.30       11        8  1.00  0.40 
  103      -0.63      -0.22      1.00      0.20       11       13  1.00  0.40 
  104      -0.63      -0.17      1.00      0.17       11       11  1.00  0.40 
  105      -0.63      -0.09      1.00      0.10        8       10  1.00  0.40 
  106      -0.63      -0.08      1.00      0.08       11       12  1.00  0.40 
  107      -0.63       0.00      1.00      0.00        9       10  1.00  0.40 
  108      -0.86       0.00      1.31      0.00        6       13  1.00  0.40 
  109      -1.07       0.00      1.98      0.00        9        9  1.00  0.40 
  110      -1.23       0.00      1.79      0.00        9        8  1.00  0.40 
  111      -1.30       0.00      1.88      0.00       12       11  1.00  0.40 
  112      -1.47       0.00      2.11      0.00        9        9  1.00  0.40 
  113      -1.80       0.00      2.42      0.00       13       14  1.00  0.40 
  114      -1.88       0.00      2.46      0.00       10        8  1.00  0.40 
  115      -1.95       0.00      2.34      0.00       10       10  1.00  0.40 
  116      -2.01       0.00      2.30      0.00       11       12  1.00  0.40 
  117      -2.03       0.00      2.00      0.00        8       10  1.00  0.40 
  118      -2.03       0.00      2.00      0.00       11       10  1.00  0.40 
  119      -2.03       0.00      2.00      0.00        8       10  1.00  0.40 
  120      -2.03       0.00      2.00      0.00       12        8  1.00  0.40 
  121      -2.03       0.00      2.00      0.00       10        9  1.00  0.40 
  122      -2.03       0.00      2.00      0.00       11       12  1.00  0.40 
  123      -2.03       0.00      2.00      0.00       12        7  1.00  0.40 
  124      -2.03       0.00      2.00      0.00       10       11  1.00  0.40 
  125      -2.12       0.00      2.16      0.00       12       12  1.00  0.40 
  126      -2.12       0.00      2.16      0.00       12       12  1.00  0.40 
  127      -2.03       0.00      2.00      0.00        9       10  1.00  0.40 
  128      -2.03       0.00      2.00      0.00       10        4  1.00  0.40 
  129      -2.03       0.00      2.00      0.00       11        8  1.00  0.40 
  130      -2.03       0.00      2.00      0.00        9        9  1.00  0.40 
  131      -2.03       0.00      2.00      0.00       12        7  1.00  0.40 
  132      -2.03       0.00      2.00      0.00        5       11  1.00  0.40 
  133      -2.03       0.00      2.00      0.00        9        9  1.00  0.40 
  134      -2.03       0.00      2.00      0.00       13       13  1.00  0.40 
  135      -2.03       0.00      2.00      0.00       11        5  1.00  0.40 
  136      -2.03       0.00      2.00      0.00        6       10  1.00  0.40 
  137      -2.03       0.00      2.00      0.00        9       11  1.00  0.40 
  138      -2.03       0.00      2.00      0.00        8        7  1.00  0.40 
  139      -2.03       0.00      2.00      0.00       12       10  1.00  0.40 
  140      -2.03       0.00      2.00      0.00       12       11  1.00  0.40 
  141      -2.03       0.00      2.00      0.00        8       11  1.00  0.40 
  142      -2.06       0.00      2.15      0.00       13        8  1.00  0.40 
  143      -2.06       0.00      2.15      0.00       13        9  1.00  0.40 
  144      -2.11       0.00      2.33      0.00       11       12  1.00  0.40 
  145      -2.15       0.00      2.49      0.00       14       11  1.00  0.40 
  146      -2.10       0.00      2.31      0.00       12        8  1.00  0.40 
  147      -2.08       0.00      2.23      0.00       16       10  1.00  0.40 
  148      -2.11       0.00      2.36      0.00        5       10  1.00  0.40 
  149      -2.09       0.00      2.27      0.00        7       10  1.00  0.40 
  150      -2.13       0.00      2.41      0.00       13       10  1.00  0.40 
  151      -2.03       0.00      2.00      0.00        5       12  1.00  0.40 
  152      -2.03      -0.02      2.00      0.08       14       12  1.00  0.40 
  153      -2.03      -0.02      2.00      0.08       11       12  1.00  0.40 
  154      -2.03       0.00      2.00      0.00       14       13  1.00  0.40 
  155      -2.03       0.00      2.00      0.00        6        8  1.00  0.40 
  156      -2.03       0.00      2.00      0.00       11        8  1.00  0.40 
  157      -2.03       0.00      2.00      0.00       12        9  1.00  0.40 
  158      -2.03       0.00      2.00      0.00       14        9  1.00  0.40 
  159      -1.97       0.00      2.23      0.00        8       12  1.00  0.40 
  160      -1.83       0.00      2.52      0.00       14        8  1.00  0.40 
  161      -1.96       0.00      2.27      0.00       14        7  1.00  0.40 
  162      -1.95       0.00      2.31      0.00        6       12  1.00  0.40 
  163      -1.99       0.00      2.16      0.00       12        4  1.00  0.40 
  164      -1.99       0.00      2.15      0.00       13        8  1.00  0.40 
  165      -1.96       0.00      2.27      0.00        7       11  1.00  0.40 
  166      -2.03       0.00      2.00      0.00       15       10  1.00  0.40 
  167      -2.03       0.00      2.00      0.00        9       11  1.00  0.40 
  168      -2.03       0.00      2.00      0.00       11       11  1.00  0.40 
  169      -2.03       0.00      2.00      0.00       10        8  1.00  0.40 
  170      -2.03       0.00      2.00      0.00        9        9  1.00  0.40 
  171      -2.03       0.00      2.00      0.00       10       12  1.00  0.40 
  172      -2.03       0.00      2.00      0.00       11        6  1.00  0.40 
  173      -2.03       0.00      2.00      0.00       13        9  1.00  0.40 
  174      -2.03       0.00      2.00      0.00       10       15  1.00  0.40 
  175      -2.03       0.00      2.00      0.00        9       10  1.00  0.40 
  176      -2.03       0.00      2.00      0.00        7       10  1.00  0.40 
  177      -2.03       0.00      2.00      0.00       12        9  1.00  0.40 
  178      -1.97       0.00      2.19      0.00       10       10  1.00  0.40 
  179      -2.03       0.00      2.00      0.00        7       17  1.00  0.40 
  180      -2.03       0.00      2.00      0.00       10       11  1.00  0.40 
  181      -2.03       0.00      2.00      0.00        8        5  1.00  0.40 
  182      -2.07       0.00      2.23      0.00        8       10  1.00  0.40 
  183      -2.06       0.00      2.16      0.00       12       12  1.00  0.40 
  184      -2.03       0.00      2.00      0.00        9        7  1.00  0.40 
  185      -2.03       0.00      2.00      0.00        6       11  1.00  0.40 
  186      -2.03       0.00      2.00      0.00        9        9  1.00  0.40 
  187      -2.03       0.00      2.00      0.00        9       10  1.00  0.40 
  188      -2.03       0.00      2.00      0.00        8       11  1.00  0.40 
  189      -2.03       0.00      2.00      0.00       10       14  1.00  0.40 
  190      -2.03       0.00      2.00      0.00        9       14  1.00  0.40 
  191      -2.03       0.00      2.00      0.00        5       18  1.00  0.40 
  192      -2.03       0.00      2.00      0.00        9        7  1.00  0.40 
  193      -2.03       0.00      2.00      0.00       11        9  1.00  0.40 
  194      -2.03       0.00      2.00      0.00        9       11  1.00  0.40 
  195      -2.03       0.00      2.00      0.00       10       11  1.00  0.40 
  196      -2.03       0.00      2.00      0.00       10       11  1.00  0.40 
  197      -2.03       0.00      2.00      0.00       10        8  1.00  0.40 
  198      -2.03       0.00      2.00      0.00       12       10  1.00  0.40 
  199      -2.03       0.00      2.00      0.00       11        9  1.00  0.40 
  200      -2.03       0.00      2.00      0.00       10        9  1.00  0.40 
  201      -2.03       0.00      2.00      0.00       17       11  1.00  0.40 
  202      -2.03       0.00      2.00      0.00       10       13  1.00  0.40 
  203      -2.03       0.00      2.00      0.00        9        8  1.00  0.40 
  204      -2.03       0.00      2.00      0.00        7       12  1.00  0.40 
  205      -2.03       0.00      2.00      0.00       11        9  1.00  0.40 
  206      -2.03       0.00      2.00      0.00        7       13  1.00  0.40 
  207      -2.03       0.00      2.00      0.00       15       11  1.00  0.40 
  208      -2.00       0.00      2.21      0.00        9        9  1.00  0.40 
  209      -1.99       0.00      2.27      0.00       14        7  1.00  0.40 
  210      -1.95       0.00      2.51      0.00       10        9  1.00  0.40 
  211      -2.00       0.00      2.17      0.00       11       13  1.00  0.40 
  212      -2.00       0.00      2.21      0.00        9       11  1.00  0.40 
  213      -2.00       0.00      2.21      0.00        9        6  1.00  0.40 
  214      -1.97       0.00      2.44      0.00        8        7  1.00  0.40 
  215      -1.96       0.00      2.47      0.00       11        7  1.00  0.40 
  216      -1.93       0.00      2.64      0.00       10        8  1.00  0.40 
  217      -1.96       0.00      2.47      0.00       11       10  1.00  0.40 
  218      -1.98       0.00      2.36      0.00       10        8  1.00  0.40 
  219      -1.92       0.00      2.67      0.00        7       12  1.00  0.40 
  220      -1.93       0.00      2.64      0.00       10       11  1.00  0.40 
  221      -1.93       0.00      2.64      0.00        5        9  1.00  0.40 
  222      -1.97       0.00      2.44      0.00        8       11  1.00  0.40 
  223      -2.06       0.00      2.35      0.00       11       11  1.00  0.40 
  224      -2.04       0.00      2.55      0.00       10        9  1.00  0.40 
  225      -2.05       0.00      3.00      0.00        5       11  1.00  0.40 
  226      -2.05       0.00      3.09      0.00        9        6  1.00  0.40 
  227      -1.95       0.00      2.97      0.00       11       10  1.00  0.40 
  228      -1.95       0.00      2.56      0.00        9       10  1.00  0.40 
  229      -1.99       0.00      2.31      0.00       12       15  1.00  0.40 
  230      -2.00       0.00      2.17      0.00       11        9  1.00  0.40 
  231      -2.03       0.00      2.00      0.00        4        9  1.00  0.40 
  232      -2.03       0.00      2.00      0.00       10       14  1.00  0.40 
  233      -2.03       0.00      2.00      0.00        7       12  1.00  0.40 
  234      -2.03       0.00      2.00      0.00       10       11  1.00  0.40 
  235      -2.03       0.00      2.00      0.00        9       11  1.00  0.40 
  236      -2.03       0.00      2.00      0.00        9       11  1.00  0.40 
  237      -2.03       0.00      2.00      0.00       10       15  1.00  0.40 
  238      -2.03       0.00      2.00      0.00       13        9  1.00  0.40 
  239      -2.03       0.00      2.00      0.00       12       10  1.00  0.40 
