// Initial random seed:
4322092087196

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'x');
initializeMutationType(1, 0.5, "n", 0, 1);
initializeMutationType(2, 0.5, "n", 0, 1);
initializeGenomicElementType(1, c(m1, m2), c(10, 1));
initializeGenomicElement(g1, 0, 99999);
initializeMutationRate(1e-07);
initializeRecombinationRate(1e-08);

// Starting run at generation <start>:
1 

gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1       0.00       0.00      0.00      0.00    10000    10000  1.00  0.40 
    2      -0.00      -0.00      0.01      0.00    10051    10077  1.00  0.40 
    3      -0.00      -0.00      0.03      0.00     9945    10053  1.00  0.40 
    4      -0.00       0.00      0.06      0.00     9873    10014  1.00  0.40 
    5      -0.00      -0.00      0.08      0.00    10058    10075  1.00  0.40 
    6       0.00      -0.00      0.11      0.00    10094    10063  1.00  0.40 
    7      -0.00      -0.00      0.16      0.00    10068     9925  1.00  0.40 
    8      -0.00      -0.00      0.22      0.00     9900     9940  1.00  0.40 
    9       0.00      -0.00      0.30      0.01     9883     9930  1.00  0.40 
   10      -0.00      -0.00      0.40      0.01     9948    10029  1.00  0.40 
   11      -0.00       0.00      0.54      0.01    10005     9999  1.00  0.40 
   12      -0.01       0.00      0.71      0.01     9954     9892  1.00  0.40 
   13      -0.02       0.00      0.91      0.01     9933     9906  1.00  0.40 
   14      -0.03       0.00      1.11      0.01     9891    10127  1.00  0.40 
   15      -0.04       0.00      1.34      0.01    10087    10016  1.00  0.40 
   16      -0.05       0.00      1.52      0.01    10058     9863  1.00  0.40 
   17      -0.06       0.00      1.69      0.01     9959     9995  1.00  0.40 
   18      -0.05       0.00      1.83      0.01     9938    10027  1.00  0.40 
   19      -0.03      -0.00      1.95      0.01    10002    10026  1.00  0.40 
   20      -0.03       0.00      2.04      0.02    10027     9982  1.00  0.40 
   21      -0.03      -0.00      2.11      0.02    10066     9959  1.00  0.40 
   22      -0.02      -0.00      2.16      0.02     9978    10011  1.00  0.40 
   23      -0.01      -0.00      2.21      0.02     9913     9967  1.00  0.40 
   24       0.00      -0.01      2.24      0.02     9930     9967  1.00  0.40 
   25      -0.02      -0.01      2.26      0.03     9991     9910  1.00  0.40 
   26       0.00      -0.01      2.29      0.03     9849     9966  1.00  0.40 
   27       0.03      -0.01      2.31      0.03     9960     9958  1.00  0.40 
   28       0.03      -0.01      2.32      0.03     9989    10013  1.00  0.40 
   29       0.07      -0.02      2.34      0.04    10169    10018  1.00  0.40 
   30       0.08      -0.02      2.36      0.04     9970     9906  1.00  0.40 
   31       0.11      -0.03      2.37      0.05     9981    10075  1.00  0.40 
   32       0.12      -0.03      2.39      0.05    10046    10073  1.00  0.40 
   33       0.16      -0.04      2.40      0.06    10077    10080  1.00  0.40 
   34       0.16      -0.05      2.42      0.06    10033    10012  1.00  0.40 
   35       0.20      -0.05      2.43      0.07    10010    10010  1.00  0.40 
   36       0.20      -0.06      2.45      0.08     9926    10050  1.00  0.40 
   37       0.22      -0.07      2.46      0.09     9827    10106  1.00  0.40 
   38       0.29      -0.09      2.49      0.10    10158    10072  1.00  0.40 
   39       0.31      -0.11      2.49      0.12     9994    10000  1.00  0.40 
   40       0.34      -0.12      2.50      0.13    10009    10135  1.00  0.40 
   41       0.39      -0.14      2.53      0.15     9900     9901  1.00  0.40 
   42       0.40      -0.17      2.54      0.17    10141     9941  1.00  0.40 
   43       0.38      -0.20      2.56      0.20     9974     9858  1.00  0.40 
   44       0.43      -0.23      2.59      0.23    10057     9905  1.00  0.40 
   45       0.45      -0.26      2.62      0.25     9993     9967  1.00  0.40 
