// Initial random seed:
5240433243662

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'x');
initializeMutationType(1, 0.5, "n", 0, 1);
initializeMutationType(2, 0.5, "n", 0, 1);
initializeGenomicElementType(1, c(m1, m2), c(10, 1));
initializeGenomicElement(g1, 0, 99999);
initializeMutationRate(1e-07);
initializeRecombinationRate(1e-08);

// Starting run at generation <start>:
1 

gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1       0.00       0.00      0.00      0.00       10     1000  1.00  0.40 
    2       0.00       0.00      0.00      0.00        9      992  1.00  0.40 
    3       0.00       0.00      0.00      0.00       13     1016  1.00  0.40 
    4       0.00       0.00      0.00      0.00        9     1013  1.00  0.40 
    5       0.00       0.00      0.00      0.00       10      988  1.00  0.40 
    6       0.00       0.00      0.00      0.00       11      978  1.00  0.40 
    7       0.00       0.00      0.00      0.00        8      979  1.00  0.40 
    8       0.00       0.00      0.00      0.00       12      987  1.00  0.40 
    9       0.00       0.00      0.00      0.00       11      988  1.00  0.40 
   10       0.00       0.00      0.00      0.00       10      988  1.00  0.40 
   11      -0.05       0.00      0.42      0.00        9     1020  1.00  0.40 
   12      -0.16       0.00      1.22      0.00        8     1010  1.00  0.40 
   13      -0.67       0.00      1.32      0.01       10      997  1.00  0.40 
   14      -0.80       0.00      1.20      0.01        9      995  1.00  0.40 
   15      -0.77       0.00      1.23      0.01       15      982  1.00  0.40 
   16      -0.87       0.00      1.12      0.01       15     1004  1.00  0.40 
   17      -0.97      -0.00      1.00      0.01       13      999  1.00  0.40 
   18      -0.97      -0.00      1.00      0.00       14     1031  1.00  0.40 
   19      -0.97      -0.00      1.00      0.00        9      983  1.00  0.40 
   20      -0.97      -0.00      1.00      0.01        9     1014  1.00  0.40 
   21      -0.97      -0.00      1.00      0.01        8     1008  1.00  0.40 
   22      -0.97      -0.00      1.00      0.01        8     1030  1.00  0.40 
   23      -0.97      -0.01      1.00      0.01        8     1014  1.00  0.40 
   24      -1.08      -0.01      1.19      0.01       10      979  1.00  0.40 
   25      -1.28      -0.00      1.49      0.01        7      974  1.00  0.40 
   26      -1.51      -0.00      1.75      0.01       12     1017  1.00  0.40 
   27      -1.82      -0.00      2.15      0.01       10      971  1.00  0.40 
   28      -2.04      -0.00      2.17      0.01       11      989  1.00  0.40 
   29      -2.04      -0.00      2.21      0.02        9     1008  1.00  0.40 
   30      -2.04      -0.01      2.00      0.02        9     1029  1.00  0.40 
   31      -2.04      -0.01      2.00      0.02        7     1000  1.00  0.40 
   32      -2.04      -0.02      2.00      0.02        8     1018  1.00  0.40 
   33      -2.04      -0.03      2.00      0.03       10     1063  1.00  0.40 
