gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
   94  -1.96  -1.19  1.82  0.90   93  107  1.00  0.40 
   95  -2.25  -1.47  2.06  0.89   95  109  1.00  0.40 
   96  -2.14  -1.53  1.99  0.88   95  109  1.00  0.40 
   97  -2.05  -1.61  1.95  0.89   97  109  1.00  0.40 
   98  -2.06  -1.73  1.94  0.88   86   97  1.00  0.40 
   99  -2.20  -1.71  2.08  0.90  126  100  1.00  0.40 
  100  -2.41  -1.87  2.24  0.84   92  102  1.00  0.40 
  101  -2.58  -1.91  2.35  0.80  103  113  1.00  0.40 
  102  -2.65  -2.11  2.44  0.76   90   93  1.00  0.40 
  103  -2.57  -2.17  2.39  0.69   94  103  1.00  0.40 
  104  -2.55  -2.31  2.35  0.62  101  109  1.00  0.40 
  105  -2.46  -2.47  2.26  0.50  102  109  1.00  0.40 
  106  -2.26  -2.53  2.09  0.49  100  103  1.00  0.40 
  107  -2.28  -2.57  2.08  0.48  100  102  1.00  0.40 
  108  -2.25  -2.58  2.02  0.44  111   88  1.00  0.40 
  109  -2.11  -2.58  1.94  0.44   99   94  1.00  0.40 
  110  -1.91  -2.57  1.76  0.44  116  107  1.00  0.40 
  111  -1.89  -2.56  1.87  0.41  106  111  1.00  0.40 
  112  -2.09  -2.66  2.03  0.34   88   83  1.00  0.40 
  113  -2.11  -2.70  2.06  0.28  106  111  1.00  0.40 
  114  -2.26  -2.69  2.28  0.30  107  100  1.00  0.40 
  115  -2.04  -2.72  2.25  0.32  105  111  1.00  0.40 
  116  -1.87  -2.57  2.14  0.43  100  104  1.00  0.40 
  117  -1.91  -2.52  2.29  0.45   97  104  1.00  0.40 
  118  -1.99  -2.48  2.45  0.45   91   92  1.00  0.40 
  119  -1.92  -2.53  2.47  0.40   94  103  1.00  0.40 
  120  -1.86  -2.53  2.38  0.39  101  114  1.00  0.40 
  121  -1.70  -2.57  2.22  0.39  107  102  1.00  0.40 
  122  -1.65  -2.52  2.19  0.38  106  101  1.00  0.40 
  123  -1.64  -2.29  2.08  0.52  108   98  1.00  0.40 
  124  -1.32  -2.40  1.84  0.52   98   93  1.00  0.40 
  125  -1.41  -2.29  1.90  0.56  100  102  1.00  0.40 
  126  -1.72  -2.24  2.11  0.55   97   92  1.00  0.40 
  127  -1.56  -2.23  1.97  0.56   97  111  1.00  0.40 
  128  -1.32  -1.98  1.79  0.70  100   91  1.00  0.40 
  129  -1.45  -1.68  1.83  0.80   99   93  1.00  0.40 
  130  -1.90  -1.57  2.22  0.78   86   97  1.00  0.40 
  131  -1.95  -1.43  2.29  0.82   90   88  1.00  0.40 
  132  -2.08  -1.28  2.34  0.81   95   92  1.00  0.40 
  133  -1.92  -1.10  2.29  0.86  108   96  1.00  0.40 
  134  -2.13  -0.98  2.41  0.85   97   98  1.00  0.40 
  135  -2.48  -0.73  2.60  0.82  105   98  1.00  0.40 
  136  -2.62  -0.63  2.69  0.79  105   93  1.00  0.40 
  137  -2.79  -0.51  2.70  0.74   95   99  1.00  0.40 
  138  -2.90  -0.47  2.73  0.74   89   87  1.00  0.40 
  139  -2.98  -0.36  2.79  0.69  104  100  1.00  0.40 
  140  -3.34  -0.34  2.94  0.69   90  102  1.00  0.40 
  141  -3.53  -0.26  2.99  0.66   99  103  1.00  0.40 
  142  -3.60  -0.18  3.01  0.63   98  100  1.00  0.40 
  143  -3.67  -0.15  3.04  0.62   99  103  1.00  0.40 
  144  -3.76  -0.11  3.11  0.60   98   96  1.00  0.40 
  145  -4.06  -0.13  3.08  0.61  108  110  1.00  0.40 
  146  -4.15  -0.11  3.06  0.59  109  106  1.00  0.40 
  147  -4.26  -0.15  3.07  0.63  117   94  1.00  0.40 
  148  -4.37  -0.13  3.05  0.63  101  104  1.00  0.40 
  149  -4.40  -0.17  3.08  0.64  103   97  1.00  0.40 
  150  -4.47  -0.11  3.10  0.61   91   94  1.00  0.40 
  151  -4.57  -0.09  3.08  0.60   96  104  1.00  0.40 
  152  -4.65  -0.08  3.10  0.59  102  110  1.00  0.40 
  153  -4.52  -0.06  3.17  0.58   98  100  1.00  0.40 
  154  -4.51  -0.04  3.28  0.56   92   98  1.00  0.40 
  155  -4.55  -0.00  3.21  0.56   93  105  1.00  0.40 
  156  -4.57  -0.01  3.24  0.55   93  104  1.00  0.40 
  157  -4.61  -0.00  3.20  0.54   87  105  1.00  0.40 
  158  -4.49   0.04  3.18  0.56  105  101  1.00  0.40 
  159  -4.58   0.04  3.21  0.57   83   92  1.00  0.40 
  160  -4.68   0.01  3.17  0.54  105  109  1.00  0.40 
  161  -4.64  -0.02  3.18  0.54  100  105  1.00  0.40 
  162  -4.47  -0.04  3.21  0.57  101  110  1.00  0.40 
  163  -4.66  -0.05  3.24  0.54   85  104  1.00  0.40 
  164  -4.60  -0.07  3.27  0.50  104  104  1.00  0.40 
  165  -4.57  -0.10  3.29  0.53  101  103  1.00  0.40 
  166  -4.71  -0.11  3.34  0.52   97  112  1.00  0.40 
  167  -4.63  -0.13  3.38  0.51   93   93  1.00  0.40 
  168  -4.63  -0.07  3.36  0.49   99  113  1.00  0.40 
  169  -4.69  -0.08  3.36  0.45   99   99  1.00  0.40 
  170  -4.68  -0.05  3.41  0.44   90   97  1.00  0.40 
  171  -4.58  -0.02  3.42  0.50   99   93  1.00  0.40 
  172  -4.58  -0.03  3.43  0.50   90  102  1.00  0.40 
  173  -4.41  -0.06  3.43  0.53   97   91  1.00  0.40 
  174  -4.48  -0.09  3.42  0.50  107   94  1.00  0.40 
  175  -4.59  -0.11  3.45  0.52  101   97  1.00  0.40 
  176  -0.48  -0.07  1.45  0.45  102   98  1.00  0.40 
  177  -0.47  -0.11  1.43  0.49  114   96  1.00  0.40 
  178  -0.37  -0.07  1.43  0.44  110  101  1.00  0.40 
  179  -0.29  -0.07  1.41  0.43  104  102  1.00  0.40 
  180  -0.15  -0.05  1.44  0.37  112   87  1.00  0.40 
  181  -0.13  -0.06  1.44  0.34   97   86  1.00  0.40 
  182  -0.18  -0.05  1.43  0.33  114  105  1.00  0.40 
  183  -0.13  -0.02  1.49  0.21  111   87  1.00  0.40 
  184  -0.13   0.00  1.55  0.14   97  106  1.00  0.40 
  185  -0.20   0.00  1.53  0.10   91  104  1.00  0.40 
  186   0.76   0.00  0.63  0.09  108   92  1.00  0.40 
  187   0.99   0.00  0.75  0.10  101  108  1.00  0.40 
  188   1.27   0.00  0.83  0.13   91  110  1.00  0.40 
  189   1.47   0.00  0.90  0.10  109   99  1.00  0.40 
  190   1.58   0.00  0.95  0.07  108  103  1.00  0.40 
  191   1.62   0.00  0.96  0.08   93  104  1.00  0.40 
  192   1.65   0.00  0.97  0.11  102   89  1.00  0.40 
  193   1.64   0.02  1.00  0.11  100  100  1.00  0.40 
  194   1.78   0.03  1.08  0.18  103   96  1.00  0.40 
  195   1.86   0.05  1.10  0.22   89   98  1.00  0.40 
  196   1.91   0.08  1.14  0.28   90   92  1.00  0.40 
  197   1.91   0.07  1.09  0.28  105  100  1.00  0.40 
  198   1.92   0.09  1.13  0.27   96  104  1.00  0.40 
  199   1.98   0.10  1.16  0.29  101   93  1.00  0.40 
  200   2.05   0.11  1.20  0.26  105  101  1.00  0.40 
  201   2.11   0.25  1.25  0.32  107   86  1.00  0.40 
  202   2.14   0.30  1.25  0.39  105  104  1.00  0.40 
  203   2.18   0.46  1.29  0.47   93  100  1.00  0.40 
  204   2.20   0.78  1.26  0.59   88  100  1.00  0.40 
  205   2.24   0.91  1.27  0.60  102  113  1.00  0.40 
  206   2.20   1.07  1.19  0.64  107   84  1.00  0.40 
  207   2.22   1.30  1.25  0.68  101   99  1.00  0.40 
  208   2.24   1.52  1.20  0.64   93   98  1.00  0.40 
  209   2.30   1.55  1.24  0.63  100  107  1.00  0.40 
  210   2.35   1.72  1.21  0.64   91   97  1.00  0.40 
  211   2.34   1.70  1.21  0.63  114  107  1.00  0.40 
  212   2.35   1.98  1.16  0.68   89   91  1.00  0.40 
  213   2.43   1.96  1.17  0.63   98   97  1.00  0.40 
  214   2.49   1.99  1.17  0.66   94   99  1.00  0.40 
  215   2.62   1.98  1.22  0.64   99  101  1.00  0.40 
