gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1   0.00   0.00  0.00  0.00   94  106  1.00  0.40 
    2  -0.00   0.00  0.01  0.00  111  100  1.00  0.40 
    3  -0.00   0.00  0.01  0.00  108  104  1.00  0.40 
    4  -0.00   0.00  0.01  0.00  103  101  1.00  0.40 
    5  -0.00   0.00  0.01  0.00   95   99  1.00  0.40 
    6  -0.02   0.00  0.02  0.00  112   93  1.00  0.40 
    7  -0.04   0.00  0.03  0.00   98   96  1.00  0.40 
    8  -0.05   0.00  0.04  0.00   99  114  1.00  0.40 
    9  -0.09   0.00  0.08  0.00   97  117  1.00  0.40 
   10  -0.14   0.00  0.10  0.00  112  112  1.00  0.40 
   11  -0.10   0.00  0.07  0.00  107  100  1.00  0.40 
   12  -0.15   0.00  0.09  0.00   93   94  1.00  0.40 
   13  -0.28   0.00  0.14  0.00  102  105  1.00  0.40 
   14  -0.48   0.00  0.24  0.00   95   99  1.00  0.40 
   15  -0.61   0.00  0.29  0.00  109  109  1.00  0.40 
   16  -0.75   0.00  0.35  0.00  105   95  1.00  0.40 
   17  -0.90   0.00  0.41  0.00  106   94  1.00  0.40 
   18  -1.13   0.00  0.48  0.00  100  109  1.00  0.40 
   19  -1.32   0.00  0.56  0.00   95  100  1.00  0.40 
   20  -1.50   0.00  0.59  0.00   93  103  1.00  0.40 
   21  -1.65   0.00  0.63  0.01   94   99  1.00  0.40 
   22  -1.62   0.00  0.60  0.00   99  112  1.00  0.40 
   23  -1.63   0.00  0.63  0.00   98   94  1.00  0.40 
   24  -1.66   0.00  0.65  0.00  105   92  1.00  0.40 
   25  -1.67   0.00  0.65  0.00   99  101  1.00  0.40 
   26  -1.66   0.00  0.66  0.00   86   94  1.00  0.40 
   27  -1.68   0.00  0.67  0.00  114  112  1.00  0.40 
   28  -1.71   0.00  0.69  0.00  102   96  1.00  0.40 
   29  -1.71   0.00  0.69  0.00   91   92  1.00  0.40 
   30  -1.74   0.00  0.66  0.00  105   96  1.00  0.40 
   31  -1.73   0.00  0.66  0.00   87   99  1.00  0.40 
   32  -1.76  -0.01  0.65  0.01   88   96  1.00  0.40 
   33  -1.73  -0.01  0.65  0.02  106  107  1.00  0.40 
   34  -1.73  -0.02  0.64  0.03   98   94  1.00  0.40 
   35  -1.74  -0.04  0.62  0.05  106  110  1.00  0.40 
   36  -1.74  -0.06  0.60  0.08   95   86  1.00  0.40 
   37  -1.76  -0.07  0.60  0.10  102  106  1.00  0.40 
   38  -1.75  -0.09  0.61  0.11  105   96  1.00  0.40 
   39  -1.75  -0.10  0.63  0.13   89  111  1.00  0.40 
   40  -1.76  -0.11  0.63  0.14  103  108  1.00  0.40 
   41  -1.76  -0.14  0.66  0.18  101   95  1.00  0.40 
   42  -1.76  -0.22  0.70  0.27  103   77  1.00  0.40 
   43  -1.75  -0.31  0.68  0.33  100   89  1.00  0.40 
   44  -1.78  -0.42  0.64  0.41  121   90  1.00  0.40 
   45  -1.75  -0.54  0.61  0.48   93   96  1.00  0.40 
   46  -1.76  -0.68  0.63  0.51  101   94  1.00  0.40 
   47  -1.77  -0.73  0.68  0.50   86   92  1.00  0.40 
   48  -1.74  -0.82  0.66  0.50  103  101  1.00  0.40 
