// Initial random seed:
2469666212549

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'x');
initializeMutationType(1, 0.5, "n", 0, 1);
initializeMutationType(2, 0.5, "n", 0, 1);
initializeGenomicElementType(1, c(m1, m2), c(10, 1));
initializeGenomicElement(g1, 0, 99999);
initializeMutationRate(1e-07);
initializeRecombinationRate(1e-08);

// Starting run at generation <start>:
1 

gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
   84      -1.75       2.88      3.50      1.21     9945    10004  1.00  0.40 
   85      -1.99       2.90      3.48      1.22    10053     9971  1.00  0.40 
   86      -2.23       2.91      3.44      1.22    10070    10068  1.00  0.40 
   87      -2.50       2.94      3.40      1.23    10017     9967  1.00  0.40 
   88      -2.69       2.94      3.37      1.25     9960     9973  1.00  0.40 
   89      -2.93       2.90      3.34      1.26    10072    10123  1.00  0.40 
   90      -3.08       2.87      3.30      1.27    10089    10020  1.00  0.40 
   91      -3.20       2.83      3.26      1.28    10058     9895  1.00  0.40 
   92      -3.33       2.76      3.24      1.29     9990     9993  1.00  0.40 
   93      -3.43       2.67      3.21      1.31    10054    10054  1.00  0.40 
   94      -3.49       2.57      3.22      1.32     9908    10055  1.00  0.40 
   95      -3.59       2.44      3.22      1.34     9964     9972  1.00  0.40 
   96      -3.65       2.30      3.20      1.35    10070    10040  1.00  0.40 
   97      -3.69       2.12      3.19      1.37     9819    10034  1.00  0.40 
   98      -3.74       1.95      3.17      1.38    10091    10034  1.00  0.40 
   99      -3.79       1.69      3.17      1.41     9914    10014  1.00  0.40 
  100      -3.80       1.38      3.18      1.44     9985    10016  1.00  0.40 
  101      -3.81       0.99      3.19      1.47    10045     9884  1.00  0.40 
  102      -3.82       0.57      3.21      1.50     9906     9970  1.00  0.40 
  103      -3.84       0.07      3.21      1.53    10008    10082  1.00  0.40 
  104      -3.84      -0.46      3.23      1.56     9955     9991  1.00  0.40 
  105      -3.86      -1.06      3.25      1.57    10057    10005  1.00  0.40 
  106      -3.86      -1.63      3.29      1.57     9946    10000  1.00  0.40 
  107      -3.86      -2.16      3.35      1.56     9981     9947  1.00  0.40 
  108      -3.86      -2.65      3.41      1.54    10038    10014  1.00  0.40 
  109      -3.84      -3.02      3.47      1.52     9997     9984  1.00  0.40 
  110      -3.80      -3.29      3.55      1.50    10045    10117  1.00  0.40 
  111      -3.75      -3.48      3.69      1.49     9978     9928  1.00  0.40 
  112      -3.69      -3.61      3.82      1.48    10079    10009  1.00  0.40 
  113      -3.60      -3.70      3.96      1.46     9980     9992  1.00  0.40 
  114      -3.52      -3.77      4.13      1.45     9916    10014  1.00  0.40 
  115      -3.46      -3.79      4.27      1.44    10034     9922  1.00  0.40 
  116      -3.33      -3.80      4.42      1.43    10136     9960  1.00  0.40 
  117      -3.18      -3.84      4.57      1.43     9882     9898  1.00  0.40 
  118      -3.07      -3.86      4.68      1.44     9947    10022  1.00  0.40 
  119      -2.92      -3.87      4.83      1.44     9912     9993  1.00  0.40 
  120      -2.79      -3.88      4.91      1.45    10040     9963  1.00  0.40 
  121      -2.69      -3.89      5.00      1.45    10194    10051  1.00  0.40 
  122      -2.53      -3.91      5.06      1.46    10061     9991  1.00  0.40 
  123      -2.44      -3.92      5.13      1.47    10014     9975  1.00  0.40 
  124      -2.37      -3.93      5.18      1.49    10082     9946  1.00  0.40 
  125      -2.28      -3.94      5.23      1.49     9886    10077  1.00  0.40 
  126      -2.19      -3.96      5.28      1.50     9964    10036  1.00  0.40 
  127      -2.12      -3.98      5.31      1.51    10152    10001  1.00  0.40 
  128      -2.00      -4.00      5.37      1.53    10047     9977  1.00  0.40 
  129      -1.86      -4.02      5.40      1.54     9915    10004  1.00  0.40 
  130      -1.73      -4.05      5.39      1.54    10016     9975  1.00  0.40 
  131      -1.62      -4.07      5.43      1.56     9927    10003  1.00  0.40 
  132      -1.42      -4.10      5.46      1.57    10055    10060  1.00  0.40 
  133      -1.33      -4.12      5.50      1.58     9982    10076  1.00  0.40 
  134      -1.22      -4.15      5.51      1.60    10081    10036  1.00  0.40 
  135      -1.09      -4.19      5.52      1.63     9991    10048  1.00  0.40 
  136      -1.07      -4.23      5.53      1.65     9847     9883  1.00  0.40 
  137      -0.90      -4.27      5.55      1.68     9929    10050  1.00  0.40 
  138      -0.81      -4.31      5.59      1.70     9992     9973  1.00  0.40 
  139      -0.73      -4.36      5.60      1.73    10112     9946  1.00  0.40 
  140      -0.75      -4.42      5.61      1.76    10026     9894  1.00  0.40 
  141      -0.60      -4.49      5.64      1.80     9901    10080  1.00  0.40 
  142      -0.47      -4.55      5.64      1.84    10015     9893  1.00  0.40 
  143      -0.20      -4.60      5.63      1.87    10084    10027  1.00  0.40 
  144      -0.11      -4.67      5.66      1.90     9930     9925  1.00  0.40 
  145       0.04      -4.75      5.66      1.93     9931     9913  1.00  0.40 
  146       0.20      -4.83      5.66      1.96    10041    10004  1.00  0.40 
  147       0.42      -4.89      5.67      1.99     9895    10046  1.00  0.40 
  148       0.51      -4.97      5.68      2.03     9969     9924  1.00  0.40 
  149       0.66      -5.05      5.64      2.06    10026     9984  1.00  0.40 
  150       0.85      -5.12      5.66      2.09    10077    10016  1.00  0.40 
  151       0.97      -5.19      5.66      2.12     9944    10012  1.00  0.40 
  152       1.17      -5.26      5.64      2.15    10018     9860  1.00  0.40 
  153       1.40      -5.33      5.59      2.18     9970    10055  1.00  0.40 
  154       1.65      -5.39      5.58      2.19    10054    10023  1.00  0.40 
  155       1.82      -5.45      5.55      2.22     9940    10042  1.00  0.40 
  156       2.04      -5.53      5.52      2.24     9954    10038  1.00  0.40 
  157       2.20      -5.58      5.50      2.25     9889     9974  1.00  0.40 
  158       2.41      -5.64      5.48      2.27     9912     9818  1.00  0.40 
  159       2.54      -5.67      5.48      2.28    10021    10100  1.00  0.40 
  160       2.60      -5.73      5.47      2.29    10034    10052  1.00  0.40 
  161       2.71      -5.76      5.43      2.30     9956    10063  1.00  0.40 
  162       2.79      -5.79      5.41      2.30    10134    10070  1.00  0.40 
  163       3.00      -5.79      5.37      2.30     9980    10059  1.00  0.40 
  164       3.04      -5.82      5.39      2.30     9948    10072  1.00  0.40 
  165       3.09      -5.85      5.40      2.32    10086    10009  1.00  0.40 
  166       3.15      -5.88      5.40      2.31     9944     9921  1.00  0.40 
  167       3.25      -5.90      5.39      2.32    10073    10002  1.00  0.40 
  168       3.33      -5.92      5.37      2.33     9991    10047  1.00  0.40 
  169       3.35      -5.91      5.36      2.34     9913    10022  1.00  0.40 
  170       3.41      -5.95      5.34      2.35     9963    10034  1.00  0.40 
  171       3.39      -5.95      5.34      2.35    10008     9901  1.00  0.40 
  172       3.49      -5.96      5.35      2.35    10113     9981  1.00  0.40 
  173       3.52      -5.94      5.30      2.36    10012    10072  1.00  0.40 
  174       3.57      -5.93      5.28      2.36     9972    10006  1.00  0.40 
  175       3.62      -5.91      5.28      2.36     9910     9983  1.00  0.40 
  176       3.59      -5.89      5.26      2.34     9948     9828  1.00  0.40 
  177       3.62      -5.88      5.26      2.34    10005     9970  1.00  0.40 
  178       3.63      -5.86      5.26      2.34     9977    10019  1.00  0.40 
  179       3.59      -5.82      5.25      2.34    10022     9881  1.00  0.40 
  180       3.60      -5.82      5.24      2.35    10104     9872  1.00  0.40 
  181       3.64      -5.81      5.27      2.35     9962     9966  1.00  0.40 
  182       3.69      -5.79      5.29      2.35    10096    10097  1.00  0.40 
  183       3.74      -5.76      5.28      2.35     9935     9997  1.00  0.40 
  184       3.78      -5.75      5.34      2.36    10066     9912  1.00  0.40 
  185       3.77      -5.73      5.32      2.36     9923     9941  1.00  0.40 
  186       3.76      -5.70      5.33      2.37     9952    10015  1.00  0.40 
  187       3.77      -5.70      5.36      2.37    10073     9958  1.00  0.40 
  188       3.80      -5.67      5.35      2.37    10034    10013  1.00  0.40 
  189       3.86      -5.59      5.33      2.36    10063    10083  1.00  0.40 
  190       3.88      -5.56      5.32      2.36     9998     9947  1.00  0.40 
  191       3.89      -5.50      5.32      2.36     9921     9938  1.00  0.40 
  192       3.92      -5.46      5.36      2.35    10002     9982  1.00  0.40 
  193       3.92      -5.42      5.37      2.35    10092    10116  1.00  0.40 
  194       3.96      -5.35      5.38      2.35     9931    10073  1.00  0.40 
  195       3.96      -5.31      5.38      2.34     9972    10010  1.00  0.40 
  196       3.97      -5.27      5.38      2.35    10067     9945  1.00  0.40 
  197       3.99      -5.20      5.41      2.35    10128     9971  1.00  0.40 
  198       4.00      -5.14      5.42      2.36     9940     9999  1.00  0.40 
  199       4.02      -5.05      5.45      2.36    10093    10079  1.00  0.40 
  200       4.04      -4.90      5.43      2.35    10079     9998  1.00  0.40 
  201       4.09      -4.79      5.44      2.34    10126     9992  1.00  0.40 
  202       4.08      -4.64      5.46      2.33     9964     9878  1.00  0.40 
  203       4.10      -4.51      5.43      2.31    10079    10027  1.00  0.40 
  204       4.12      -4.36      5.47      2.30    10071     9912  1.00  0.40 
  205       4.13      -4.21      5.48      2.29    10088    10007  1.00  0.40 
  206       4.15      -4.03      5.43      2.27    10015     9957  1.00  0.40 
  207       4.19      -3.85      5.43      2.26    10116     9929  1.00  0.40 
  208       4.20      -3.63      5.39      2.24     9893    10058  1.00  0.40 
  209       4.22      -3.37      5.38      2.22    10007     9899  1.00  0.40 
  210       4.25      -3.11      5.41      2.19     9937    10035  1.00  0.40 
  211       4.27      -2.81      5.41      2.16    10166    10016  1.00  0.40 
  212       4.31      -2.49      5.42      2.12    10159    10062  1.00  0.40 
  213       4.30      -2.14      5.42      2.07    10004     9828  1.00  0.40 
  214       4.33      -1.76      5.41      2.02     9996     9927  1.00  0.40 
  215       4.34      -1.33      5.40      1.96     9979     9917  1.00  0.40 
  216       4.34      -0.93      5.38      1.90    10003     9878  1.00  0.40 
  217       4.35      -0.47      5.38      1.82    10102     9976  1.00  0.40 
  218       4.37       0.02      5.38      1.73    10067     9949  1.00  0.40 
  219       4.36       0.58      5.37      1.61    10088     9907  1.00  0.40 
  220       4.40       1.04      5.38      1.51     9914    10129  1.00  0.40 
  221       4.41       1.50      5.39      1.40     9840    10036  1.00  0.40 
  222       4.43       1.94      5.42      1.28    10105    10032  1.00  0.40 
  223       4.42       2.31      5.41      1.19    10010    10089  1.00  0.40 
  224       4.46       2.63      5.43      1.10    10006    10032  1.00  0.40 
  225       4.48       2.96      5.43      1.01     9953     9920  1.00  0.40 
  226       4.49       3.18      5.45      0.96    10050    10127  1.00  0.40 
  227       4.50       3.39      5.45      0.90    10106     9878  1.00  0.40 
  228       4.51       3.58      5.45      0.84     9915    10143  1.00  0.40 
  229       4.52       3.71      5.44      0.80     9959     9948  1.00  0.40 
  230       4.53       3.80      5.46      0.77     9890     9918  1.00  0.40 
  231       4.56       3.88      5.45      0.75     9918    10023  1.00  0.40 
  232       4.56       3.93      5.50      0.74    10018     9996  1.00  0.40 
  233       4.62       3.95      5.56      0.72    10131     9959  1.00  0.40 
  234       4.66       3.99      5.59      0.73    10145    10000  1.00  0.40 
  235       4.71       4.02      5.61      0.74    10032    10072  1.00  0.40 
  236       4.73       4.04      5.64      0.74     9936     9959  1.00  0.40 
  237       4.73       4.07      5.68      0.74     9978    10098  1.00  0.40 
  238       4.78       4.08      5.72      0.76    10015     9962  1.00  0.40 
  239       4.80       4.12      5.78      0.78    10066    10003  1.00  0.40 
  240       4.83       4.14      5.84      0.79     9973    10098  1.00  0.40 
  241       4.83       4.16      5.88      0.80     9991    10005  1.00  0.40 
  242       4.83       4.18      5.99      0.82     9963    10079  1.00  0.40 
  243       4.84       4.24      6.13      0.83     9918     9972  1.00  0.40 
  244       4.86       4.27      6.22      0.84    10065     9942  1.00  0.40 
  245       4.86       4.32      6.31      0.86     9948     9982  1.00  0.40 
  246       4.84       4.37      6.41      0.87    10068    10066  1.00  0.40 
  247       4.85       4.44      6.47      0.89     9925     9881  1.00  0.40 
  248       4.81       4.49      6.57      0.90     9931    10030  1.00  0.40 
  249       4.78       4.55      6.66      0.91     9991     9949  1.00  0.40 
  250       4.70       4.63      6.75      0.92    10039     9951  1.00  0.40 
