// Initial random seed:
5630534461038

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'x');
initializeMutationType(1, 0.5, "n", 0, 1);
initializeMutationType(2, 0.5, "n", 0, 1);
initializeGenomicElementType(1, c(m1, m2), c(10, 1));
initializeGenomicElement(g1, 0, 99999);
initializeMutationRate(1e-07);
initializeRecombinationRate(1e-08);

// Starting run at generation <start>:
1 

gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1 	  0.00 	  0.00	  0.00	  0.00     1000     1000  1.00  0.40 
    2 	  0.00 	 -0.00	  0.01	  0.00     1021     1017  1.00  0.40 
    3 	  0.00 	 -0.00	  0.02	  0.00      998     1007  1.00  0.40 
    4 	  0.01 	 -0.00	  0.03	  0.00      973      976  1.00  0.40 
    5 	  0.01 	 -0.00	  0.04	  0.00     1054     1037  1.00  0.40 
    6 	  0.02 	 -0.00	  0.06	  0.01     1026      964  1.00  0.40 
    7 	  0.03 	 -0.00	  0.09	  0.01      969     1029  1.00  0.40 
    8 	  0.05 	 -0.00	  0.12	  0.00      961     1008  1.00  0.40 
    9 	  0.09 	 -0.00	  0.16	  0.01      985      995  1.00  0.40 
   10 	  0.11 	 -0.00	  0.21	  0.01      956     1052  1.00  0.40 
   11 	  0.18 	 -0.00	  0.30	  0.01      977      985  1.00  0.40 
   12 	  0.21 	 -0.00	  0.38	  0.01      976      976  1.00  0.40 
   13 	  0.32 	 -0.01	  0.48	  0.01      982      987  1.00  0.40 
   14 	  0.48 	 -0.01	  0.59	  0.01      925      982  1.00  0.40 
   15 	  0.58 	 -0.01	  0.70	  0.01      983     1005  1.00  0.40 
   16 	  0.68 	 -0.01	  0.78	  0.01      976      998  1.00  0.40 
   17 	  0.79 	 -0.00	  0.86	  0.01      997      970  1.00  0.40 
   18 	  0.89 	 -0.00	  0.90	  0.00     1030      986  1.00  0.40 
   19 	  1.03 	 -0.00	  0.94	  0.01     1036     1015  1.00  0.40 
   20 	  1.09 	 -0.00	  0.97	  0.01     1008     1001  1.00  0.40 
   21 	  1.18 	 -0.00	  0.97	  0.02      995     1006  1.00  0.40 
   22 	  1.24 	 -0.01	  0.98	  0.02      985     1012  1.00  0.40 
   23 	  1.29 	 -0.00	  0.97	  0.02     1001     1001  1.00  0.40 
   24 	  1.42 	 -0.00	  0.97	  0.01     1012     1001  1.00  0.40 
   25 	  1.58 	  0.00	  0.97	  0.02      978      990  1.00  0.40 
   26 	  1.65 	  0.01	  0.95	  0.01      975     1008  1.00  0.40 
   27 	  1.74 	  0.01	  0.94	  0.02      968      967  1.00  0.40 
   28 	  1.82 	  0.02	  0.93	  0.02     1034     1022  1.00  0.40 
   29 	  1.91 	  0.04	  0.93	  0.03     1001     1009  1.00  0.40 
   30 	  1.99 	  0.04	  0.94	  0.04      982      987  1.00  0.40 
   31 	  1.98 	  0.06	  0.98	  0.05     1021     1007  1.00  0.40 
   32 	  1.97 	  0.07	  0.97	  0.06      960      996  1.00  0.40 
   33 	  1.99 	  0.09	  0.99	  0.07      994      965  1.00  0.40 
   34 	  2.02 	  0.12	  0.99	  0.10     1035     1018  1.00  0.40 
   35 	  2.03 	  0.18	  0.99	  0.13      999      984  1.00  0.40 
   36 	  2.04 	  0.25	  1.00	  0.18     1020      999  1.00  0.40 
   37 	  2.15 	  0.34	  0.97	  0.24      970     1014  1.00  0.40 
   38 	  2.12 	  0.43	  1.00	  0.29      961      987  1.00  0.40 
   39 	  2.10 	  0.56	  1.00	  0.35     1006     1017  1.00  0.40 
   40 	  2.09 	  0.68	  1.02	  0.41     1000     1012  1.00  0.40 
   41 	  2.10 	  0.83	  1.06	  0.46      987     1023  1.00  0.40 
   42 	  2.07 	  1.01	  1.09	  0.50     1024      988  1.00  0.40 
   43 	  2.06 	  1.16	  1.16	  0.52     1014     1014  1.00  0.40 
   44 	  1.92 	  1.32	  1.24	  0.53      982      996  1.00  0.40 
   45 	  1.86 	  1.49	  1.32	  0.53     1002      975  1.00  0.40 
   46 	  1.71 	  1.65	  1.39	  0.50     1008      994  1.00  0.40 
   47 	  1.49 	  1.78	  1.48	  0.47      998     1007  1.00  0.40 
   48 	  1.18 	  1.87	  1.57	  0.44     1019     1003  1.00  0.40 
   49 	  0.89 	  1.93	  1.64	  0.42      998     1004  1.00  0.40 
   50 	  0.67 	  2.03	  1.72	  0.38      997      993  1.00  0.40 
   51 	  0.33 	  2.10	  1.78	  0.36     1003     1036  1.00  0.40 
   52 	 -0.05 	  2.17	  1.81	  0.33     1012     1010  1.00  0.40 
   53 	 -0.28 	  2.23	  1.84	  0.30     1000      976  1.00  0.40 
