gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1       0.00       0.00      0.00      0.00      100      100  1.00  0.40 
    2       0.02       0.00      0.04      0.00      104      106  1.00  0.40 
    3       0.02       0.00      0.04      0.00       97      105  1.00  0.40 
    4       0.04       0.00      0.05      0.00      110      100  1.00  0.40 
    5       0.16       0.00      0.14      0.00       83       85  1.00  0.40 
    6       0.24       0.00      0.21      0.00      102       97  1.00  0.40 
    7       0.38       0.00      0.31      0.00       94       85  1.00  0.40 
    8       0.62       0.00      0.57      0.00      100       97  1.00  0.40 
    9       1.01       0.00      0.86      0.00       89       95  1.00  0.40 
   10       1.28       0.00      0.96      0.00      105      103  1.00  0.40 
   11       1.48       0.00      0.90      0.00       93      103  1.00  0.40 
   12       1.75      -0.00      0.99      0.01      104       95  1.00  0.40 
   13       1.87      -0.00      1.00      0.01       97      103  1.00  0.40 
   14       1.98      -0.00      1.03      0.01      105       93  1.00  0.40 
   15       2.06      -0.00      1.12      0.01       88      100  1.00  0.40 
   16       2.35       0.00      0.85      0.00       91      101  1.00  0.40 
   17       2.24       0.00      0.82      0.00      107      110  1.00  0.40 
   18       2.33       0.00      0.78      0.00      117      102  1.00  0.40 
   19       2.30       0.00      0.84      0.00       97       97  1.00  0.40 
   20       2.39      -0.02      0.61      0.01      112       92  1.00  0.40 
   21       2.41      -0.02      0.68      0.01      103      103  1.00  0.40 
   22       2.47      -0.02      0.72      0.01      106       93  1.00  0.40 
   23       2.52      -0.06      0.72      0.03       93       95  1.00  0.40 
   24       2.52      -0.06      0.72      0.03      108       99  1.00  0.40 
   25       2.53      -0.05      0.86      0.03       82      109  1.00  0.40 
   26       2.52      -0.08      0.94      0.04       89       98  1.00  0.40 
   27       2.53      -0.08      1.03      0.04       97       97  1.00  0.40 
   28       2.51      -0.11      1.17      0.06      101      105  1.00  0.40 
   29       2.52      -0.12      1.20      0.06       90      112  1.00  0.40 
   30       2.52      -0.11      0.97      0.06      102      103  1.00  0.40 
   31       2.51      -0.16      1.06      0.08       82      108  1.00  0.40 
   32       2.53      -0.11      1.07      0.06       93      100  1.00  0.40 
   33       2.59      -0.07      1.23      0.04      106      104  1.00  0.40 
   34       2.54      -0.09      1.05      0.05       99      105  1.00  0.40 
   35       2.56      -0.08      1.07      0.04       91      100  1.00  0.40 
   36       2.60      -0.12      1.17      0.07      105      101  1.00  0.40 
   37       2.54      -0.10      0.95      0.06       86       97  1.00  0.40 
   38       2.54      -0.09      0.95      0.07      106      107  1.00  0.40 
   39       2.56      -0.05      0.93      0.04      101       97  1.00  0.40 
   40       2.57      -0.03      1.04      0.03      103       97  1.00  0.40 
   41       2.53      -0.00      0.89      0.03       94      104  1.00  0.40 
   42       2.58       0.00      1.03      0.04      102      106  1.00  0.40 
   43       2.59       0.00      1.05      0.04      107      106  1.00  0.40 
   44       2.59       0.00      0.96      0.04      105      113  1.00  0.40 
   45       2.59       0.02      1.15      0.03       94      101  1.00  0.40 
   46       2.57       0.02      1.19      0.03      100      105  1.00  0.40 
   47       2.57       0.02      1.14      0.03      103      112  1.00  0.40 
   48       2.59       0.02      1.20      0.03      105      109  1.00  0.40 
   49       2.53       0.01      0.99      0.01       98       95  1.00  0.40 
   50       2.54       0.02      0.94      0.02       96       99  1.00  0.40 
   51       2.57       0.04      0.88      0.05       99      103  1.00  0.40 
   52       2.56       0.05      0.85      0.07       95      104  1.00  0.40 
   53       2.60       0.06      0.92      0.08       94      100  1.00  0.40 
   54       2.61       0.10      1.05      0.12      107      104  1.00  0.40 
   55       2.65       0.07      1.20      0.09       98      113  1.00  0.40 
   56       2.62       0.10      1.10      0.12      112      100  1.00  0.40 
   57       2.62       0.15      1.15      0.18       98       89  1.00  0.40 
   58       2.62       0.21      1.12      0.24      109      113  1.00  0.40 
   59       2.62       0.23      1.17      0.26      100      118  1.00  0.40 
   60       2.61       0.29      1.19      0.30      102      104  1.00  0.40 
   61       2.61       0.32      1.28      0.33       98       88  1.00  0.40 
   62       2.62       0.38      1.50      0.37      103      107  1.00  0.40 
   63       2.64       0.43      1.56      0.41       96      104  1.00  0.40 
   64       2.69       0.50      1.59      0.44       96       86  1.00  0.40 
   65       2.70       0.52      1.51      0.45       83      100  1.00  0.40 
   66       2.68       0.56      1.46      0.46       96      107  1.00  0.40 
   67       2.72       0.54      1.57      0.46      102      111  1.00  0.40 
   68       2.83       0.64      1.73      0.49      104      105  1.00  0.40 
   69       2.92       0.69      1.99      0.50       87      100  1.00  0.40 
   70       2.97       0.81      2.14      0.50       97       97  1.00  0.40 
   71       3.04       0.86      2.25      0.49       97      100  1.00  0.40 
   72       3.13       0.84      2.38      0.49       98       99  1.00  0.40 
   73       3.15       0.86      2.38      0.49       95       91  1.00  0.40 
   74       3.12       0.92      2.37      0.48      104       96  1.00  0.40 
   75       3.14       1.00      2.42      0.45      111       95  1.00  0.40 
   76       3.15       1.13      2.44      0.41       99       97  1.00  0.40 
   77       3.23       1.18      2.61      0.38      118       95  1.00  0.40 
   78       3.27       1.27      2.75      0.31       93      101  1.00  0.40 
   79       3.28       1.40      2.70      0.26       89      108  1.00  0.40 
   80       3.36       1.45      2.65      0.22       96      101  1.00  0.40 
   81       3.31       1.49      2.44      0.18       97       95  1.00  0.40 
   82       3.31       1.49      2.55      0.20      105      103  1.00  0.40 
   83       3.30       1.46      2.27      0.20       99      103  1.00  0.40 
   84       3.36       1.49      2.33      0.17      100      107  1.00  0.40 
   85       3.40       1.52      2.18      0.09      102      106  1.00  0.40 
   86       3.43       1.59      2.02      0.09      108      104  1.00  0.40 
   87       3.45       1.56      2.02      0.05       99      105  1.00  0.40 
   88       3.39       1.64      1.91      0.05      105       91  1.00  0.40 
   89       3.42       1.61      2.22      0.04       89       88  1.00  0.40 
   90       3.50       1.64      2.18      0.04      107       94  1.00  0.40 
   91       3.48       1.73      1.92      0.07      104       94  1.00  0.40 
   92       3.53       1.71      2.13      0.07      100      104  1.00  0.40 
   93       3.63       1.78      2.35      0.09       89       97  1.00  0.40 
   94       3.64       1.75      2.39      0.08      106       97  1.00  0.40 
   95       3.72       1.76      2.67      0.08      107      105  1.00  0.40 
   96       3.77       1.79      2.75      0.09      104       92  1.00  0.40 
   97       3.82       1.89      2.60      0.12       99       98  1.00  0.40 
   98       3.83       2.18      2.65      0.21       95      104  1.00  0.40 
   99       3.79       2.38      2.48      0.26      111      105  1.00  0.40 
  100       3.78       2.73      2.57      0.34      102      100  1.00  0.40 
  101       3.77       3.09      2.19      0.42      105       96  1.00  0.40 
  102       3.72       3.28      1.91      0.46       94       95  1.00  0.40 
  103       3.66       3.54      1.78      0.50       99       96  1.00  0.40 
  104       3.68       3.68      1.68      0.50      101       99  1.00  0.40 
  105       3.67       4.00      1.79      0.50      115       95  1.00  0.40 
  106       3.64       4.02      1.49      0.50       82      104  1.00  0.40 
  107       3.70       4.01      1.65      0.50       97       98  1.00  0.40 
  108       3.70       4.18      1.32      0.50       93       98  1.00  0.40 
  109       3.67       3.92      1.22      0.49      108      106  1.00  0.40 
  110       3.60       4.26      0.98      0.50       99       96  1.00  0.40 
  111       3.59       4.66      1.05      0.49      100       96  1.00  0.40 
  112       3.60       4.29      0.95      0.50      102      102  1.00  0.40 
  113       3.59       4.23      0.72      0.50       95      101  1.00  0.40 
  114       3.57       3.96      0.53      0.49      101       99  1.00  0.40 
  115       3.56       3.96      0.64      0.49       93       91  1.00  0.40 
  116       3.53       3.87      0.62      0.49       92      104  1.00  0.40 
  117       3.53       3.97      0.61      0.49      108      112  1.00  0.40 
  118       3.49       4.00      0.59      0.50       92      107  1.00  0.40 
  119       3.51       4.26      0.53      0.50       98      102  1.00  0.40 
  120       3.51       4.46      0.59      0.50      102       94  1.00  0.40 
  121       3.54       4.18      0.56      0.50      107       99  1.00  0.40 
  122       3.53       4.14      0.51      0.50      109       91  1.00  0.40 
