gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1       0.00       0.00      0.00      0.00       10      100  1.00  0.40 
    2       0.00      -0.01      0.00      0.01       11      103  1.00  0.40 
    3       0.00       0.00      0.00      0.00        7       98  1.00  0.40 
    4       0.00       0.00      0.00      0.00       11       92  1.00  0.40 
    5       0.00       0.00      0.00      0.00        7       88  1.00  0.40 
    6       0.00       0.00      0.00      0.00       13      100  1.00  0.40 
    7       0.00       0.00      0.00      0.00        9       99  1.00  0.40 
    8      -0.18       0.00      0.18      0.00       10      102  1.00  0.40 
    9      -0.55       0.00      0.42      0.00       10       95  1.00  0.40 
   10      -1.83       0.00      0.00      0.00        6       93  1.00  0.40 
   11      -1.83       0.00      0.00      0.00       11      105  1.00  0.40 
   12      -1.83       0.00      0.00      0.00        9       99  1.00  0.40 
   13      -1.83       0.00      0.00      0.00       17       98  1.00  0.40 
   14      -1.83       0.00      0.00      0.00       14      115  1.00  0.40 
   15      -1.83       0.00      0.00      0.00       10      116  1.00  0.40 
   16      -1.83       0.00      0.00      0.00       12       96  1.00  0.40 
   17      -1.83       0.00      0.00      0.00       10      104  1.00  0.40 
   18      -1.83       0.00      0.00      0.00        4      107  1.00  0.40 
   19      -1.83       0.00      0.00      0.00       11      117  1.00  0.40 
   20      -1.83       0.00      0.00      0.00       10      119  1.00  0.40 
   21      -1.83       0.00      0.00      0.00       10      106  1.00  0.40 
   22      -1.83       0.00      0.00      0.00       12       90  1.00  0.40 
   23      -1.83       0.00      0.00      0.00        8       97  1.00  0.40 
   24      -1.83       0.00      0.00      0.00       10      103  1.00  0.40 
   25      -1.83       0.00      0.00      0.00       12       91  1.00  0.40 
   26      -1.83       0.00      0.00      0.00       12       97  1.00  0.40 
   27      -1.83       0.00      0.00      0.00        9       96  1.00  0.40 
   28      -1.83       0.00      0.00      0.00       15      106  1.00  0.40 
   29      -1.84       0.00      0.17      0.00       11      107  1.00  0.40 
   30      -1.84       0.00      0.18      0.00       10      101  1.00  0.40 
   31      -1.83       0.00      0.00      0.00        9      101  1.00  0.40 
   32      -1.83       0.00      0.00      0.00       10       85  1.00  0.40 
   33      -1.83       0.00      0.00      0.00        7       92  1.00  0.40 
   34      -1.83       0.00      0.00      0.00        9       93  1.00  0.40 
   35      -1.83       0.00      0.00      0.00        8       99  1.00  0.40 
   36      -1.83       0.00      0.00      0.00       11       87  1.00  0.40 
   37      -1.83       0.00      0.00      0.00       11       96  1.00  0.40 
   38      -1.83       0.00      0.00      0.00        7      100  1.00  0.40 
   39      -1.83       0.00      0.00      0.00        8      105  1.00  0.40 
   40      -1.83       0.00      0.00      0.00       14      105  1.00  0.40 
   41      -1.83       0.00      0.00      0.00       15       91  1.00  0.40 
   42      -1.83       0.00      0.00      0.00        9      103  1.00  0.40 
   43      -1.83       0.00      0.00      0.00       11      100  1.00  0.40 
   44      -1.83       0.00      0.00      0.00        8      102  1.00  0.40 
   45      -1.83      -0.01      0.00      0.01       16       98  1.00  0.40 
   46      -1.83      -0.01      0.00      0.01       10       95  1.00  0.40 
   47      -1.83       0.00      0.00      0.00       11      114  1.00  0.40 
   48      -1.83       0.00      0.00      0.00       13      109  1.00  0.40 
   49      -1.87       0.00      0.12      0.00       15      105  1.00  0.40 
   50      -1.87      -0.00      0.11      0.01       17       97  1.00  0.40 
   51      -1.91      -0.00      0.22      0.01        8      103  1.00  0.40 
   52      -2.08      -0.00      0.47      0.02        8       96  1.00  0.40 
   53      -2.05      -0.00      0.44      0.01        9       99  1.00  0.40 
   54      -2.05       0.00      0.44      0.00        9       92  1.00  0.40 
   55      -2.03       0.00      0.42      0.00       10      100  1.00  0.40 
   56      -2.08       0.00      0.47      0.00        8       95  1.00  0.40 
   57      -2.12       0.00      0.49      0.00        9       94  1.00  0.40 
   58      -2.05       0.00      0.44      0.00        9      101  1.00  0.40 
   59      -1.97       0.00      0.35      0.00        9      108  1.00  0.40 
   60      -2.04       0.00      0.43      0.00       16       97  1.00  0.40 
   61      -2.19       0.00      0.50      0.00       11      106  1.00  0.40 
   62      -2.02       0.00      0.41      0.00        7       87  1.00  0.40 
   63      -1.96       0.00      0.32      0.00       10      106  1.00  0.40 
   64      -2.07       0.00      0.46      0.00       11      101  1.00  0.40 
   65      -2.15       0.00      0.63      0.00       11      112  1.00  0.40 
   66      -2.15       0.00      0.64      0.00        9       95  1.00  0.40 
   67      -2.21       0.00      0.66      0.00       11       90  1.00  0.40 
   68      -2.34       0.00      0.82      0.00       10      100  1.00  0.40 
   69      -2.34       0.00      0.85      0.00       13      108  1.00  0.40 
   70      -2.47       0.00      0.84      0.00        9       93  1.00  0.40 
   71      -2.41       0.00      0.89      0.00       11       96  1.00  0.40 
   72      -2.59       0.00      0.54      0.00        9      112  1.00  0.40 
   73      -2.69       0.00      0.36      0.00       10       96  1.00  0.40 
   74      -2.72       0.00      0.24      0.00        7      106  1.00  0.40 
   75      -2.72       0.00      0.18      0.00       10      101  1.00  0.40 
   76      -2.71       0.00      0.00      0.00       10       99  1.00  0.40 
   77      -2.71       0.00      0.00      0.00       13      101  1.00  0.40 
   78      -2.71       0.00      0.00      0.00       13       95  1.00  0.40 
