gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1       0.00       0.00      0.00      0.00    10000     1000  1.00  0.40 
    2       0.00       0.00      0.01      0.00     9860     1023  1.00  0.40 
    3       0.00      -0.00      0.03      0.00     9845     1032  1.00  0.40 
    4       0.00       0.00      0.04      0.00    10088     1010  1.00  0.40 
    5      -0.00       0.00      0.05      0.00    10093     1010  1.00  0.40 
    6      -0.00       0.00      0.06      0.00    10072      981  1.00  0.40 
    7      -0.00       0.00      0.07      0.00    10028      985  1.00  0.40 
    8      -0.00       0.00      0.09      0.00     9953     1010  1.00  0.40 
    9      -0.00      -0.00      0.10      0.00     9876     1035  1.00  0.40 
   10      -0.00      -0.00      0.12      0.00    10012      970  1.00  0.40 
   11      -0.00      -0.00      0.14      0.00    10051     1012  1.00  0.40 
   12      -0.00       0.00      0.15      0.00    10062     1022  1.00  0.40 
   13      -0.00       0.00      0.17      0.00     9974     1019  1.00  0.40 
   14      -0.00      -0.00      0.19      0.00     9923      997  1.00  0.40 
   15      -0.01      -0.00      0.20      0.00     9895     1022  1.00  0.40 
   16      -0.01      -0.00      0.21      0.00    10104     1010  1.00  0.40 
   17      -0.01      -0.00      0.24      0.00     9868     1015  1.00  0.40 
   18      -0.01      -0.00      0.25      0.00    10019      978  1.00  0.40 
   19      -0.01      -0.00      0.26      0.00    10046      981  1.00  0.40 
   20      -0.01      -0.00      0.29      0.00    10014      999  1.00  0.40 
   21      -0.01      -0.00      0.31      0.00    10050      998  1.00  0.40 
   22      -0.00      -0.00      0.32      0.01     9912     1074  1.00  0.40 
   23      -0.01       0.00      0.35      0.01     9977     1043  1.00  0.40 
   24      -0.01       0.00      0.37      0.01     9859     1027  1.00  0.40 
   25      -0.00       0.00      0.40      0.01     9988      991  1.00  0.40 
   26      -0.01       0.00      0.42      0.02     9809      997  1.00  0.40 
   27      -0.01       0.00      0.44      0.01     9966      989  1.00  0.40 
   28      -0.01       0.00      0.47      0.01    10014      972  1.00  0.40 
   29      -0.01       0.00      0.49      0.00     9947     1015  1.00  0.40 
   30      -0.02       0.00      0.52      0.00     9909      961  1.00  0.40 
   31      -0.02       0.00      0.54      0.00     9977      974  1.00  0.40 
   32      -0.02       0.00      0.58      0.00     9938      993  1.00  0.40 
   33      -0.02      -0.00      0.61      0.00     9927      983  1.00  0.40 
   34      -0.03      -0.00      0.65      0.00     9983     1020  1.00  0.40 
   35      -0.04      -0.00      0.67      0.00     9901      998  1.00  0.40 
   36      -0.04      -0.00      0.69      0.00     9885      947  1.00  0.40 
   37      -0.05       0.00      0.71      0.00     9849     1001  1.00  0.40 
   38      -0.04      -0.00      0.72      0.00     9974     1007  1.00  0.40 
   39      -0.04       0.00      0.76      0.01     9909     1028  1.00  0.40 
   40      -0.06       0.00      0.80      0.01    10033      991  1.00  0.40 
   41      -0.06      -0.00      0.82      0.01     9770      976  1.00  0.40 
   42      -0.06      -0.00      0.86      0.01     9923      972  1.00  0.40 
   43      -0.06      -0.00      0.89      0.02     9971      977  1.00  0.40 
   44      -0.06      -0.00      0.92      0.02     9974     1015  1.00  0.40 
   45      -0.06      -0.00      0.95      0.02    10103     1015  1.00  0.40 
   46      -0.06      -0.00      0.98      0.02     9991      976  1.00  0.40 
   47      -0.07      -0.00      1.00      0.01    10002     1024  1.00  0.40 
   48      -0.08      -0.00      1.05      0.02     9952      964  1.00  0.40 
   49      -0.07       0.00      1.09      0.01    10139      962  1.00  0.40 
   50      -0.09       0.00      1.13      0.01    10107      979  1.00  0.40 
   51      -0.09      -0.00      1.16      0.02     9889     1032  1.00  0.40 
   52      -0.11       0.00      1.20      0.02    10112     1012  1.00  0.40 
   53      -0.11       0.00      1.22      0.02     9904      987  1.00  0.40 
   54      -0.10       0.00      1.24      0.02     9954      981  1.00  0.40 
   55      -0.10       0.00      1.27      0.03    10034      999  1.00  0.40 
   56      -0.10       0.00      1.30      0.03     9890     1008  1.00  0.40 
   57      -0.10       0.00      1.34      0.03     9976     1013  1.00  0.40 
   58      -0.10       0.00      1.39      0.03     9980     1020  1.00  0.40 
   59      -0.09       0.01      1.43      0.03    10034      976  1.00  0.40 
   60      -0.10       0.00      1.46      0.03    10056     1003  1.00  0.40 
   61      -0.10       0.00      1.48      0.03    10008      973  1.00  0.40 
   62      -0.10       0.00      1.53      0.03    10142     1028  1.00  0.40 
   63      -0.09       0.01      1.57      0.04     9960      990  1.00  0.40 
   64      -0.09       0.01      1.61      0.03     9958      980  1.00  0.40 
   65      -0.09       0.00      1.65      0.04    10007     1029  1.00  0.40 
   66      -0.10       0.00      1.69      0.04     9880     1032  1.00  0.40 
   67      -0.09       0.00      1.70      0.04     9944      972  1.00  0.40 
   68      -0.09       0.00      1.73      0.04     9917      988  1.00  0.40 
   69      -0.09       0.00      1.76      0.04    10123     1003  1.00  0.40 
   70      -0.09       0.00      1.80      0.05    10061     1024  1.00  0.40 
   71      -0.09       0.00      1.86      0.04     9860     1007  1.00  0.40 
   72      -0.10       0.00      1.90      0.04    10097     1012  1.00  0.40 
   73      -0.11       0.00      1.94      0.04     9947      984  1.00  0.40 
   74      -0.10       0.00      1.96      0.05    10081     1026  1.00  0.40 
   75      -0.10       0.00      1.99      0.05    10115     1003  1.00  0.40 
   76      -0.10       0.00      2.03      0.05    10201      973  1.00  0.40 
   77      -0.10       0.00      2.07      0.05     9982      992  1.00  0.40 
   78      -0.09       0.00      2.11      0.06    10051     1035  1.00  0.40 
   79      -0.09       0.00      2.14      0.05    10032     1000  1.00  0.40 
   80      -0.08       0.00      2.18      0.04     9939      997  1.00  0.40 
   81      -0.10       0.00      2.23      0.04     9991     1011  1.00  0.40 
   82      -0.11       0.00      2.27      0.05     9946      952  1.00  0.40 
   83      -0.11       0.00      2.30      0.05     9901     1008  1.00  0.40 
   84      -0.13       0.00      2.35      0.05    10069     1011  1.00  0.40 
   85      -0.11       0.00      2.39      0.06    10114      989  1.00  0.40 
   86      -0.13       0.00      2.44      0.05    10016     1030  1.00  0.40 
   87      -0.11       0.00      2.47      0.06     9841      988  1.00  0.40 
   88      -0.10       0.01      2.53      0.06     9896     1012  1.00  0.40 
   89      -0.11       0.01      2.53      0.05     9948      994  1.00  0.40 
   90      -0.10       0.01      2.55      0.05     9842     1015  1.00  0.40 
   91      -0.10       0.00      2.59      0.04     9893     1004  1.00  0.40 
   92      -0.10       0.00      2.63      0.05     9913     1009  1.00  0.40 
   93      -0.10       0.00      2.68      0.04     9951     1009  1.00  0.40 
   94      -0.09       0.00      2.70      0.03     9980      974  1.00  0.40 
   95      -0.09       0.00      2.74      0.03    10040      969  1.00  0.40 
   96      -0.09       0.00      2.82      0.03     9964     1015  1.00  0.40 
   97      -0.09       0.00      2.86      0.02    10016      987  1.00  0.40 
   98      -0.11       0.00      2.88      0.02     9916      966  1.00  0.40 
   99      -0.09       0.00      2.90      0.02    10049     1029  1.00  0.40 
  100      -0.08       0.00      2.95      0.02    10081     1001  1.00  0.40 
  101      -0.05      -0.00      2.97      0.02    10104     1006  1.00  0.40 
  102      -0.06       0.00      2.97      0.02     9752      986  1.00  0.40 
  103      -0.07       0.00      2.97      0.02     9976     1010  1.00  0.40 
  104      -0.07      -0.00      3.00      0.02     9973      983  1.00  0.40 
  105      -0.06      -0.00      3.03      0.01    10106      965  1.00  0.40 
  106      -0.06       0.00      3.04      0.01    10033     1009  1.00  0.40 
  107      -0.06       0.00      3.07      0.01     9963     1035  1.00  0.40 
  108      -0.06       0.00      3.08      0.01    10059     1028  1.00  0.40 
  109      -0.07      -0.00      3.09      0.02    10073      977  1.00  0.40 
  110      -0.09      -0.01      3.13      0.02     9989     1008  1.00  0.40 
  111      -0.10      -0.01      3.15      0.02     9969      971  1.00  0.40 
  112      -0.10      -0.01      3.15      0.02     9893     1009  1.00  0.40 
  113      -0.09      -0.01      3.17      0.02    10061      988  1.00  0.40 
  114      -0.10      -0.01      3.20      0.02     9907     1025  1.00  0.40 
  115      -0.11      -0.01      3.24      0.02    10094      998  1.00  0.40 
  116      -0.13      -0.02      3.25      0.02    10056     1012  1.00  0.40 
  117      -0.13      -0.02      3.28      0.02    10055      989  1.00  0.40 
  118      -0.16      -0.02      3.28      0.03     9996      985  1.00  0.40 
  119      -0.15      -0.02      3.31      0.03     9999      977  1.00  0.40 
  120      -0.13      -0.02      3.33      0.03     9913      991  1.00  0.40 
  121      -0.10      -0.03      3.35      0.04     9879     1005  1.00  0.40 
  122      -0.09      -0.03      3.36      0.05    10025      955  1.00  0.40 
  123      -0.09      -0.03      3.39      0.05     9924     1009  1.00  0.40 
  124      -0.09      -0.04      3.40      0.06    10061      987  1.00  0.40 
