// Initial random seed:
2151379022055

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'x');
initializeMutationType(1, 0.5, "n", 0, 1);
initializeMutationType(2, 0.5, "n", 0, 1);
initializeGenomicElementType(1, c(m1, m2), c(10, 1));
initializeGenomicElement(g1, 0, 99999);
initializeMutationRate(1e-07);
initializeRecombinationRate(1e-08);

// Starting run at generation <start>:
1 

gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1       0.00       0.00      0.00      0.00    10000       10  1.00  0.40 
    2      -0.00       0.00      0.01      0.00    10020        9  1.00  0.40 
    3      -0.00       0.00      0.03      0.00    10024       12  1.00  0.40 
    4      -0.00       0.00      0.04      0.00     9972       10  1.00  0.40 
    5       0.00       0.00      0.06      0.00    10010        8  1.00  0.40 
    6       0.00       0.00      0.07      0.00    10062        8  1.00  0.40 
    7       0.00       0.00      0.08      0.00    10008        9  1.00  0.40 
    8       0.00       0.00      0.09      0.00     9955        8  1.00  0.40 
    9       0.00       0.00      0.10      0.00     9933        7  1.00  0.40 
   10       0.00       0.00      0.12      0.00    10006       10  1.00  0.40 
   11       0.00       0.00      0.13      0.00    10082       13  1.00  0.40 
   12       0.00       0.00      0.14      0.00     9961       10  1.00  0.40 
   13       0.01       0.00      0.15      0.00     9994        6  1.00  0.40 
   14       0.01       0.00      0.16      0.00    10029        9  1.00  0.40 
   15       0.01       0.00      0.17      0.00     9891       12  1.00  0.40 
   16       0.01       0.00      0.18      0.00     9971        5  1.00  0.40 
   17       0.01       0.00      0.19      0.00    10007       10  1.00  0.40 
   18       0.01       0.00      0.20      0.00    10010        8  1.00  0.40 
   19       0.00       0.00      0.22      0.00    10135       13  1.00  0.40 
   20       0.00       0.00      0.23      0.00     9877        3  1.00  0.40 
   21       0.01       0.00      0.23      0.00     9922        6  1.00  0.40 
   22       0.01       0.00      0.23      0.00     9954        9  1.00  0.40 
   23       0.00       0.00      0.24      0.00     9769        9  1.00  0.40 
   24       0.00       0.00      0.25      0.00    10083       10  1.00  0.40 
   25      -0.00       0.00      0.27      0.00     9991       12  1.00  0.40 
   26      -0.01       0.00      0.29      0.00     9996       11  1.00  0.40 
   27      -0.01       0.00      0.30      0.00     9957       12  1.00  0.40 
   28      -0.01       0.00      0.31      0.00     9861        9  1.00  0.40 
   29      -0.02       0.00      0.31      0.00    10004       11  1.00  0.40 
   30      -0.01       0.00      0.33      0.00     9953        4  1.00  0.40 
   31      -0.01       0.00      0.34      0.00    10019        8  1.00  0.40 
   32      -0.02       0.00      0.36      0.00     9946        8  1.00  0.40 
   33      -0.02       0.00      0.37      0.00    10055       11  1.00  0.40 
   34      -0.01       0.00      0.37      0.00     9941        9  1.00  0.40 
   35      -0.01       0.00      0.38      0.00    10012       11  1.00  0.40 
   36      -0.00       0.00      0.40      0.00     9960       10  1.00  0.40 
   37      -0.01       0.00      0.40      0.00    10106        6  1.00  0.40 
   38      -0.00       0.00      0.41      0.00    10040        9  1.00  0.40 
   39      -0.00       0.00      0.42      0.00    10104       11  1.00  0.40 
   40      -0.01       0.00      0.45      0.00    10042       11  1.00  0.40 
   41      -0.01       0.00      0.46      0.00     9877        9  1.00  0.40 
   42      -0.01       0.00      0.47      0.00    10010        8  1.00  0.40 
   43      -0.01       0.00      0.48      0.00    10203       11  1.00  0.40 
   44      -0.00       0.00      0.49      0.00     9990       15  1.00  0.40 
   45      -0.01       0.00      0.52      0.00     9948       12  1.00  0.40 
   46      -0.01       0.00      0.53      0.00    10044       10  1.00  0.40 
   47      -0.02       0.00      0.53      0.00     9922       12  1.00  0.40 
   48      -0.01       0.00      0.55      0.00    10046        9  1.00  0.40 
   49      -0.02       0.00      0.55      0.00    10129        7  1.00  0.40 
   50      -0.01       0.00      0.56      0.00    10018       11  1.00  0.40 
   51      -0.01       0.00      0.58      0.00     9980       13  1.00  0.40 
   52      -0.01       0.00      0.61      0.00    10016       14  1.00  0.40 
   53      -0.02       0.00      0.62      0.00     9979       10  1.00  0.40 
   54      -0.02       0.00      0.63      0.00    10245       11  1.00  0.40 
   55      -0.01       0.00      0.64      0.00    10106       11  1.00  0.40 
   56      -0.01       0.00      0.65      0.00     9833        7  1.00  0.40 
   57      -0.01       0.00      0.66      0.00     9996        7  1.00  0.40 
   58      -0.02       0.00      0.68      0.00     9914       11  1.00  0.40 
   59      -0.01       0.00      0.67      0.00    10122       12  1.00  0.40 
   60      -0.01       0.00      0.67      0.00    10115       10  1.00  0.40 
   61      -0.02       0.00      0.70      0.00     9987        8  1.00  0.40 
   62      -0.02       0.00      0.71      0.00    10001       10  1.00  0.40 
   63      -0.01       0.00      0.75      0.00     9920       13  1.00  0.40 
   64      -0.02       0.00      0.76      0.00    10098        8  1.00  0.40 
   65      -0.02       0.00      0.77      0.00     9952       11  1.00  0.40 
   66      -0.02       0.00      0.78      0.00    10036       12  1.00  0.40 
   67      -0.03       0.00      0.78      0.00    10011       13  1.00  0.40 
   68      -0.02       0.00      0.79      0.00     9951       11  1.00  0.40 
   69      -0.02       0.00      0.82      0.00     9951       10  1.00  0.40 
   70      -0.01       0.00      0.84      0.00    10018        9  1.00  0.40 
   71      -0.01       0.00      0.86      0.00     9954        8  1.00  0.40 
   72      -0.01       0.00      0.89      0.00     9953        9  1.00  0.40 
   73       0.00       0.00      0.91      0.00    10020       12  1.00  0.40 
   74       0.01       0.00      0.93      0.00    10158       12  1.00  0.40 
   75       0.00       0.00      0.91      0.00    10202       12  1.00  0.40 
   76       0.00       0.00      0.92      0.00     9978       11  1.00  0.40 
   77      -0.00       0.00      0.93      0.00     9915        8  1.00  0.40 
   78      -0.00       0.00      0.94      0.00     9998       13  1.00  0.40 
   79      -0.01       0.00      0.95      0.00    10013        8  1.00  0.40 
   80      -0.01       0.00      0.98      0.00    10119        8  1.00  0.40 
   81      -0.02       0.00      0.99      0.00     9954       14  1.00  0.40 
   82      -0.02       0.00      0.98      0.00    10016        9  1.00  0.40 
   83      -0.02       0.00      0.99      0.00    10003        8  1.00  0.40 
   84      -0.02       0.00      1.01      0.00    10017       10  1.00  0.40 
   85      -0.02       0.00      1.04      0.00     9991       10  1.00  0.40 
   86      -0.02       0.00      1.06      0.00    10049       13  1.00  0.40 
   87      -0.03       0.00      1.09      0.00    10001       12  1.00  0.40 
   88      -0.03       0.00      1.12      0.00    10103        9  1.00  0.40 
   89      -0.03       0.00      1.13      0.00    10069        9  1.00  0.40 
   90      -0.04       0.00      1.12      0.00     9946       13  1.00  0.40 
   91      -0.03       0.00      1.11      0.00     9997       10  1.00  0.40 
   92      -0.02       0.00      1.13      0.00    10071       13  1.00  0.40 
   93      -0.02       0.00      1.15      0.00     9932       13  1.00  0.40 
   94      -0.03       0.00      1.17      0.00    10056        8  1.00  0.40 
   95      -0.02       0.00      1.19      0.00     9913       11  1.00  0.40 
   96      -0.02       0.00      1.20      0.00     9933       10  1.00  0.40 
   97      -0.03       0.00      1.19      0.00     9894       10  1.00  0.40 
   98      -0.03       0.00      1.20      0.00    10035        7  1.00  0.40 
   99      -0.04       0.00      1.19      0.00    10131       12  1.00  0.40 
  100      -0.03       0.00      1.22      0.00     9991       10  1.00  0.40 
  101      -0.03       0.00      1.22      0.00    10072       13  1.00  0.40 
  102      -0.02       0.00      1.22      0.00     9981        7  1.00  0.40 
  103      -0.04       0.00      1.26      0.00     9964       13  1.00  0.40 
  104      -0.04       0.00      1.26      0.00     9993        3  1.00  0.40 
  105      -0.05       0.00      1.27      0.00     9806        6  1.00  0.40 
