// Initial random seed:
5039168482145

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'x');
initializeMutationType(1, 0.5, "n", 0, 1);
initializeMutationType(2, 0.5, "n", 0, 1);
initializeGenomicElementType(1, c(m1, m2), c(10, 1));
initializeGenomicElement(g1, 0, 99999);
initializeMutationRate(1e-07);
initializeRecombinationRate(1e-08);

// Starting run at generation <start>:
1 

gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1       0.00       0.00      0.00      0.00      100    10000  1.00  0.40 
    2      -0.03      -0.00      0.06      0.00       92    10065  1.00  0.40 
    3      -0.12      -0.00      0.28      0.00       68     9951  1.00  0.40 
    4      -0.56       0.00      1.08      0.00       43    10096  1.00  0.40 
    5      -1.35       0.00      1.16      0.00       47    10052  1.00  0.40 
    6      -1.89       0.00      0.48      0.00       91     9921  1.00  0.40 
    7      -1.97      -0.00      0.32      0.00      102     9954  1.00  0.40 
    8      -1.97      -0.00      0.26      0.00       87     9993  1.00  0.40 
    9      -1.98      -0.00      0.15      0.00      106    10042  1.00  0.40 
   10      -1.98      -0.01      0.16      0.01      106     9892  1.00  0.40 
   11      -1.98      -0.01      0.24      0.01      112    10014  1.00  0.40 
   12      -1.98      -0.02      0.33      0.01      109    10041  1.00  0.40 
   13      -1.98      -0.02      0.29      0.02       99     9886  1.00  0.40 
   14      -1.99      -0.04      0.31      0.03       91     9974  1.00  0.40 
   15      -1.99      -0.07      0.28      0.05      106     9891  1.00  0.40 
   16      -1.99      -0.11      0.28      0.07      101     9960  1.00  0.40 
   17      -1.99      -0.18      0.35      0.10       98    10090  1.00  0.40 
   18      -1.97      -0.27      0.30      0.16      105    10084  1.00  0.40 
   19      -1.99      -0.41      0.21      0.23       99    10053  1.00  0.40 
   20      -1.99      -0.59      0.25      0.31       98    10068  1.00  0.40 
   21      -1.99      -0.80      0.23      0.42      106    10042  1.00  0.40 
   22      -2.01      -1.01      0.29      0.51      105     9983  1.00  0.40 
   23      -2.02      -1.24      0.20      0.61       89    10039  1.00  0.40 
   24      -2.04      -1.40      0.17      0.68      102    10084  1.00  0.40 
   25      -2.08      -1.57      0.20      0.75       96    10056  1.00  0.40 
   26      -2.11      -1.71      0.30      0.80       89    10060  1.00  0.40 
   27      -2.13      -1.81      0.41      0.84      108     9944  1.00  0.40 
   28      -2.21      -1.88      0.54      0.86      105     9882  1.00  0.40 
   29      -2.36      -1.96      0.74      0.88       91     9989  1.00  0.40 
   30      -2.47      -2.02      0.93      0.91      102    10107  1.00  0.40 
   31      -2.52      -2.12      0.90      0.94      110     9966  1.00  0.40 
   32      -2.66      -2.19      0.95      0.97      102     9980  1.00  0.40 
   33      -2.68      -2.28      1.00      1.00      113     9960  1.00  0.40 
   34      -2.62      -2.36      1.13      1.03      100    10039  1.00  0.40 
   35      -2.54      -2.44      1.10      1.06      100     9979  1.00  0.40 
   36      -2.52      -2.48      1.13      1.08      113     9982  1.00  0.40 
   37      -2.37      -2.51      1.32      1.10      115    10024  1.00  0.40 
   38      -2.20      -2.51      1.47      1.11      107     9923  1.00  0.40 
   39      -2.07      -2.48      1.50      1.11      100    10019  1.00  0.40 
   40      -1.80      -2.45      1.46      1.11       90    10062  1.00  0.40 
   41      -1.76      -2.40      1.52      1.11       96    10115  1.00  0.40 
   42      -1.44      -2.33      1.38      1.10       91    10023  1.00  0.40 
   43      -1.23      -2.19      1.18      1.06       87    10027  1.00  0.40 
   44      -1.02      -2.03      1.09      1.02       96     9969  1.00  0.40 
   45      -0.97      -1.84      1.11      0.97       91    10012  1.00  0.40 
   46      -0.98      -1.66      1.21      0.91       96    10017  1.00  0.40 
   47      -1.00      -1.55      1.39      0.86      109    10090  1.00  0.40 
