// Initial random seed:
2156409023556

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'x');
initializeMutationType(1, 0.5, "n", 0, 1);
initializeMutationType(2, 0.5, "n", 0, 1);
initializeGenomicElementType(1, c(m1, m2), c(10, 1));
initializeGenomicElement(g1, 0, 99999);
initializeMutationRate(1e-07);
initializeRecombinationRate(1e-08);

// Starting run at generation <start>:
1 

gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1       0.00       0.00      0.00      0.00    10000     1000  1.00  0.40 
    2      -0.00      -0.00      0.02      0.00    10130     1033  1.00  0.40 
    3      -0.00      -0.00      0.02      0.00    10055      983  1.00  0.40 
    4       0.00      -0.00      0.04      0.00    10035     1017  1.00  0.40 
    5       0.00      -0.00      0.05      0.01    10015      962  1.00  0.40 
    6       0.00      -0.00      0.07      0.01     9961      999  1.00  0.40 
    7       0.00       0.00      0.09      0.01    10105     1018  1.00  0.40 
    8       0.00       0.00      0.10      0.01    10110      976  1.00  0.40 
    9       0.00      -0.00      0.12      0.01    10033      956  1.00  0.40 
   10       0.01      -0.00      0.13      0.02    10083     1032  1.00  0.40 
   11       0.01       0.00      0.14      0.01    10119     1011  1.00  0.40 
   12       0.00       0.00      0.16      0.01     9942     1003  1.00  0.40 
   13       0.00       0.00      0.18      0.02    10023      994  1.00  0.40 
   14       0.01       0.00      0.20      0.02    10013     1037  1.00  0.40 
   15       0.01       0.00      0.22      0.02    10049     1002  1.00  0.40 
   16       0.01       0.00      0.24      0.02     9879     1040  1.00  0.40 
   17       0.01       0.00      0.25      0.03     9948      983  1.00  0.40 
   18       0.01       0.00      0.27      0.03     9904      968  1.00  0.40 
   19       0.01       0.00      0.29      0.04    10040     1004  1.00  0.40 
   20       0.01       0.00      0.30      0.04    10119     1018  1.00  0.40 
   21       0.01       0.00      0.32      0.03     9852      965  1.00  0.40 
   22       0.02       0.00      0.34      0.03     9985      984  1.00  0.40 
   23       0.01       0.00      0.36      0.03     9927     1007  1.00  0.40 
   24       0.01       0.00      0.38      0.03    10065     1003  1.00  0.40 
   25       0.01       0.00      0.40      0.04     9870     1013  1.00  0.40 
   26       0.00       0.00      0.41      0.04    10111      980  1.00  0.40 
   27       0.00       0.01      0.43      0.03    10123      993  1.00  0.40 
   28       0.00       0.00      0.43      0.02     9979      967  1.00  0.40 
   29      -0.00       0.01      0.46      0.02    10012      951  1.00  0.40 
   30      -0.00       0.00      0.49      0.02     9986      988  1.00  0.40 
   31       0.00       0.01      0.51      0.02     9934      986  1.00  0.40 
   32      -0.00       0.00      0.54      0.01     9912     1008  1.00  0.40 
   33       0.01       0.00      0.57      0.01     9928     1035  1.00  0.40 
   34       0.01       0.00      0.58      0.01     9928      970  1.00  0.40 
   35       0.01       0.00      0.61      0.01     9881     1030  1.00  0.40 
   36       0.02       0.00      0.66      0.01     9890      998  1.00  0.40 
   37       0.01       0.00      0.69      0.02    10083      995  1.00  0.40 
   38       0.01       0.00      0.72      0.01     9971      985  1.00  0.40 
   39       0.01       0.01      0.78      0.02     9899      981  1.00  0.40 
   40       0.01       0.00      0.80      0.01     9906      983  1.00  0.40 
   41       0.02       0.00      0.82      0.01    10094      991  1.00  0.40 
   42       0.02       0.00      0.85      0.02    10079     1042  1.00  0.40 
   43       0.02       0.01      0.89      0.03    10112      952  1.00  0.40 
   44       0.02       0.00      0.91      0.02    10015      961  1.00  0.40 
   45       0.03       0.00      0.94      0.03    10159     1019  1.00  0.40 
   46       0.03       0.00      1.00      0.03     9909      976  1.00  0.40 
   47       0.04       0.00      1.04      0.02    10074      993  1.00  0.40 
   48       0.04      -0.00      1.07      0.02    10106      964  1.00  0.40 
   49       0.04      -0.00      1.11      0.02    10051      989  1.00  0.40 
   50       0.05       0.00      1.15      0.03    10100      995  1.00  0.40 
   51       0.05      -0.00      1.18      0.03    10026      985  1.00  0.40 
   52       0.07       0.00      1.19      0.03     9975     1009  1.00  0.40 
   53       0.08      -0.00      1.22      0.03    10148     1004  1.00  0.40 
   54       0.08      -0.00      1.27      0.03    10066     1005  1.00  0.40 
   55       0.08       0.00      1.30      0.03    10085      997  1.00  0.40 
   56       0.09       0.01      1.33      0.03     9994     1008  1.00  0.40 
   57       0.10       0.00      1.39      0.03    10079      984  1.00  0.40 
   58       0.11       0.01      1.42      0.02    10044     1021  1.00  0.40 
   59       0.12       0.01      1.47      0.02    10045     1010  1.00  0.40 
   60       0.13       0.00      1.52      0.04    10005      972  1.00  0.40 
   61       0.13       0.00      1.55      0.04    10066      993  1.00  0.40 
   62       0.13       0.00      1.59      0.04     9953     1000  1.00  0.40 
   63       0.15      -0.00      1.61      0.04     9908      948  1.00  0.40 
   64       0.16      -0.00      1.67      0.03    10027      992  1.00  0.40 
   65       0.17      -0.01      1.71      0.03    10000      992  1.00  0.40 
