// Initial random seed:
5037068481335

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'x');
initializeMutationType(1, 0.5, "n", 0, 1);
initializeMutationType(2, 0.5, "n", 0, 1);
initializeGenomicElementType(1, c(m1, m2), c(10, 1));
initializeGenomicElement(g1, 0, 99999);
initializeMutationRate(1e-07);
initializeRecombinationRate(1e-08);

// Starting run at generation <start>:
1 

gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1       0.00       0.00      0.00      0.00     1000    100000  1.00  0.40 
    2      -0.01      -0.00      0.04      0.00      915    100383  1.00  0.40 
    3      -0.03      -0.00      0.17      0.00      697    100089  1.00  0.40 
    4      -0.14      -0.00      0.74      0.00      440    100246  1.00  0.40 
    5      -0.41       0.00      1.80      0.00      424    100182  1.00  0.40 
    6      -0.61       0.00      1.91      0.00      795    100071  1.00  0.40 
    7      -0.89       0.00      1.89      0.00      990    100326  1.00  0.40 
    8      -1.10      -0.00      1.84      0.01      971    100114  1.00  0.40 
    9      -1.30      -0.00      1.80      0.01     1004    99991  1.00  0.40 
   10      -1.42      -0.00      1.74      0.01     1041    99813  1.00  0.40 
   11      -1.51      -0.00      1.72      0.01     1005    99903  1.00  0.40 
   12      -1.61      -0.01      1.66      0.01      977    99781  1.00  0.40 
   13      -1.74      -0.01      1.57      0.02     1037    99988  1.00  0.40 
   14      -1.76      -0.01      1.51      0.02      975    99773  1.00  0.40 
   15      -1.81      -0.02      1.52      0.03      981    100403  1.00  0.40 
   16      -1.93      -0.04      1.48      0.04     1033    99984  1.00  0.40 
   17      -1.96      -0.06      1.45      0.05     1004    99960  1.00  0.40 
   18      -1.93      -0.09      1.44      0.07      982    100048  1.00  0.40 
   19      -1.92      -0.13      1.38      0.09      961    99583  1.00  0.40 
   20      -1.97      -0.20      1.38      0.13     1004    100066  1.00  0.40 
   21      -1.92      -0.30      1.39      0.18     1008    99893  1.00  0.40 
   22      -1.86      -0.44      1.43      0.26      988    99772  1.00  0.40 
   23      -1.86      -0.61      1.49      0.35     1015    99945  1.00  0.40 
   24      -1.70      -0.82      1.58      0.45      992    100110  1.00  0.40 
   25      -1.50      -1.04      1.72      0.56     1022    100261  1.00  0.40 
   26      -1.08      -1.26      1.81      0.67     1019    100056  1.00  0.40 
   27      -0.52      -1.42      1.89      0.75     1017    100004  1.00  0.40 
   28       0.21      -1.55      1.94      0.81     1010    100231  1.00  0.40 
   29       0.82      -1.62      1.89      0.85     1011    100035  1.00  0.40 
   30       1.25      -1.67      1.82      0.87     1015    100263  1.00  0.40 
   31       1.70      -1.68      1.73      0.88      997    99678  1.00  0.40 
   32       1.96      -1.66      1.62      0.87      970    99368  1.00  0.40 
   33       2.12      -1.63      1.50      0.86     1004    100262  1.00  0.40 
   34       2.28      -1.58      1.48      0.84      984    100337  1.00  0.40 
   35       2.33      -1.54      1.43      0.83     1033    99947  1.00  0.40 
   36       2.38      -1.48      1.45      0.81      972    99886  1.00  0.40 
   37       2.41      -1.41      1.44      0.79      997    100440  1.00  0.40 
   38       2.47      -1.33      1.44      0.78     1014    99812  1.00  0.40 
   39       2.49      -1.24      1.49      0.76      993    99759  1.00  0.40 
   40       2.47      -1.12      1.46      0.75     1006    100031  1.00  0.40 
   41       2.53      -0.98      1.49      0.75     1051    100153  1.00  0.40 
   42       2.58      -0.79      1.50      0.75     1019    99929  1.00  0.40 
   43       2.61      -0.55      1.53      0.76      990    100143  1.00  0.40 
   44       2.66      -0.27      1.60      0.78      977    100085  1.00  0.40 
   45       2.73       0.05      1.57      0.82     1010    100058  1.00  0.40 
   46       2.80       0.40      1.61      0.86     1006    99936  1.00  0.40 
   47       2.95       0.76      1.58      0.90      993    99960  1.00  0.40 
   48       3.07       1.11      1.65      0.95     1012    99844  1.00  0.40 
   49       3.22       1.43      1.73      1.00      991    99905  1.00  0.40 
   50       3.40       1.73      1.77      1.05      992    99649  1.00  0.40 
   51       3.52       2.00      1.77      1.11      984    99962  1.00  0.40 
