// Initial random seed:
4854983511429

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'x');
initializeMutationType(1, 0.5, "n", 0, 1);
initializeMutationType(2, 0.5, "n", 0, 1);
initializeGenomicElementType(1, c(m1, m2), c(10, 1));
initializeGenomicElement(g1, 0, 99999);
initializeMutationRate(1e-07);
initializeRecombinationRate(1e-08);

// Starting run at generation <start>:
1 

gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1       0.00       0.00      0.00      0.00     1000       10  1.00  0.40 
    2      -0.00       0.00      0.02      0.00     1013        9  1.00  0.40 
    3       0.00       0.00      0.03      0.00      991       13  1.00  0.40 
    4      -0.00       0.00      0.04      0.00     1049       13  1.00  0.40 
    5       0.00       0.00      0.05      0.00      983       10  1.00  0.40 
    6       0.00       0.00      0.07      0.00     1004        8  1.00  0.40 
    7      -0.00       0.00      0.06      0.00     1010       14  1.00  0.40 
    8      -0.00       0.00      0.09      0.00      972       13  1.00  0.40 
    9      -0.01       0.00      0.09      0.00     1027        9  1.00  0.40 
   10      -0.02       0.00      0.10      0.00      981        7  1.00  0.40 
   11      -0.02       0.00      0.11      0.00     1000        8  1.00  0.40 
   12      -0.02       0.00      0.13      0.00     1029       11  1.00  0.40 
   13      -0.01       0.00      0.14      0.00      993       13  1.00  0.40 
   14      -0.01       0.00      0.16      0.00      993        5  1.00  0.40 
   15      -0.02       0.00      0.17      0.00      995       10  1.00  0.40 
   16      -0.02       0.00      0.17      0.00     1007       14  1.00  0.40 
   17      -0.02       0.00      0.20      0.00      995       13  1.00  0.40 
   18      -0.01       0.00      0.19      0.00     1000        6  1.00  0.40 
   19      -0.01       0.00      0.23      0.00     1050        9  1.00  0.40 
   20      -0.02       0.00      0.27      0.00     1073       13  1.00  0.40 
   21      -0.00       0.00      0.27      0.00     1045       13  1.00  0.40 
   22      -0.00       0.00      0.28      0.00      995        8  1.00  0.40 
   23      -0.00       0.00      0.31      0.00     1008       13  1.00  0.40 
   24      -0.00       0.00      0.30      0.00      990        8  1.00  0.40 
   25       0.01       0.00      0.33      0.00     1002        9  1.00  0.40 
   26       0.04       0.00      0.38      0.00     1005       11  1.00  0.40 
   27       0.03       0.00      0.40      0.00      994        7  1.00  0.40 
   28       0.02       0.00      0.41      0.00      983       12  1.00  0.40 
   29       0.03       0.00      0.45      0.00      995        9  1.00  0.40 
   30       0.06       0.00      0.47      0.00     1045       11  1.00  0.40 
   31       0.06       0.00      0.48      0.00      999       11  1.00  0.40 
   32       0.04       0.00      0.48      0.00     1028        7  1.00  0.40 
   33       0.01       0.00      0.49      0.00      983       10  1.00  0.40 
   34       0.04       0.00      0.47      0.00      987       10  1.00  0.40 
   35       0.05       0.00      0.50      0.00     1029       16  1.00  0.40 
   36       0.05       0.00      0.54      0.00     1014       12  1.00  0.40 
   37       0.05       0.00      0.55      0.00     1011        9  1.00  0.40 
   38       0.07       0.00      0.60      0.00      992       13  1.00  0.40 
