// Initial random seed:
5035218480584

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'x');
initializeMutationType(1, 0.5, "n", 0, 1);
initializeMutationType(2, 0.5, "n", 0, 1);
initializeGenomicElementType(1, c(m1, m2), c(10, 1));
initializeGenomicElement(g1, 0, 99999);
initializeMutationRate(1e-07);
initializeRecombinationRate(1e-08);

// Starting run at generation <start>:
1 

gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1       0.00       0.00      0.00      0.00      100    100000  1.00  0.40 
    2      -0.01       0.00      0.09      0.00       43    100004  1.00  0.40 
    3      -0.11      -0.00      0.84      0.00       10    100151  1.00  0.40 
    4      -0.19      -0.00      1.00      0.00       18    99897  1.00  0.40 
    5      -0.19      -0.00      1.00      0.00       54    99831  1.00  0.40 
    6      -0.53       0.00      0.84      0.00      101    100363  1.00  0.40 
    7      -0.83      -0.00      0.43      0.00      107    99996  1.00  0.40 
    8      -0.92      -0.00      0.25      0.01      104    100238  1.00  0.40 
    9      -1.00      -0.00      0.10      0.01      103    100408  1.00  0.40 
   10      -1.03      -0.00      0.07      0.01      108    100053  1.00  0.40 
   11      -1.06      -0.00      0.09      0.01       84    100250  1.00  0.40 
   12      -1.09      -0.01      0.14      0.01      106    99852  1.00  0.40 
   13      -1.16      -0.01      0.20      0.01       96    100083  1.00  0.40 
   14      -1.27      -0.01      0.34      0.02       91    99781  1.00  0.40 
   15      -1.44      -0.01      0.47      0.02       96    100030  1.00  0.40 
   16      -1.73      -0.02      0.45      0.02       95    99897  1.00  0.40 
   17      -1.92      -0.02      0.31      0.03       96    100146  1.00  0.40 
   18      -2.01      -0.04      0.14      0.04       89    99782  1.00  0.40 
   19      -2.07      -0.05      0.13      0.06       92    99701  1.00  0.40 
   20      -2.12      -0.07      0.17      0.07      105    100216  1.00  0.40 
   21      -2.15      -0.11      0.18      0.10      107    100379  1.00  0.40 
   22      -2.13      -0.16      0.17      0.14       92    99915  1.00  0.40 
   23      -2.14      -0.23      0.16      0.19       98    100050  1.00  0.40 
   24      -2.18      -0.32      0.18      0.26      107    100012  1.00  0.40 
   25      -2.23      -0.45      0.21      0.35       87    99901  1.00  0.40 
   26      -2.27      -0.61      0.27      0.46       94    99802  1.00  0.40 
   27      -2.35      -0.79      0.40      0.57       87    100404  1.00  0.40 
   28      -2.48      -0.97      0.46      0.69       99    100240  1.00  0.40 
   29      -2.79      -1.15      0.62      0.80       90    100031  1.00  0.40 
