// Initial random seed:
1615635787213

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'x');
initializeMutationType(1, 0.5, "n", 0, 1);
initializeMutationType(2, 0.5, "n", 0, 1);
initializeGenomicElementType(1, c(m1, m2), c(10, 1));
initializeGenomicElement(g1, 0, 99999);
initializeMutationRate(1e-07);
initializeRecombinationRate(1e-08);

// Starting run at generation <start>:
1 

gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1   0.00   0.00  0.00  0.00   83   12  1.00  0.40 
    2   0.00   0.00  0.00  0.00   90    5  1.00  0.40 
    3   0.02   0.00  0.01  0.00   99   10  1.00  0.40 
    4   0.02   0.00  0.02  0.00  100    9  1.00  0.40 
    5   0.00   0.00  0.01  0.00   85   10  1.00  0.40 
    6   0.00   0.00  0.02  0.00   99    9  1.00  0.40 
    7   0.00   0.00  0.02  0.00   92   12  1.00  0.40 
    8   0.00   0.00  0.01  0.00  116   10  1.00  0.40 
    9   0.00  -0.06  0.02  0.06  105   15  1.00  0.40 
   10   0.01   0.00  0.02  0.00  112   10  1.00  0.40 
   11   0.03   0.00  0.04  0.00  100    9  1.00  0.40 
   12   0.02   0.00  0.01  0.00   89    9  1.00  0.40 
   13   0.01   0.00  0.01  0.00  105   13  1.00  0.40 
   14   0.04   0.00  0.04  0.00   99    6  1.00  0.40 
   15   0.04   0.00  0.03  0.00   86   10  1.00  0.40 
   16   0.01   0.00  0.03  0.00  107   10  1.00  0.40 
   17  -0.02   0.00  0.04  0.00   93    7  1.00  0.40 
   18  -0.06   0.00  0.10  0.00   88    8  1.00  0.40 
   19  -0.10   0.00  0.16  0.00  107   10  1.00  0.40 
   20  -0.13   0.00  0.25  0.00   98   11  1.00  0.40 
   21  -0.16   0.00  0.24  0.00   92    7  1.00  0.40 
   22  -0.17   0.00  0.25  0.00  102   12  1.00  0.40 
   23  -0.21   0.00  0.36  0.00  103   13  1.00  0.40 
   24  -0.16   0.00  0.39  0.00   96   10  1.00  0.40 
   25  -0.10   0.00  0.39  0.00  106    8  1.00  0.40 
   26  -0.04   0.00  0.31  0.00  102   11  1.00  0.40 
   27  -0.03   0.00  0.32  0.00   97   12  1.00  0.40 
   28  -0.00   0.00  0.30  0.00  118    9  1.00  0.40 
   29  -0.05   0.00  0.32  0.00   83    8  1.00  0.40 
   30  -0.21   0.00  0.36  0.00   98    7  1.00  0.40 
   31  -0.24   0.00  0.31  0.00   95    9  1.00  0.40 
   32  -0.26   0.00  0.34  0.00  112   10  1.00  0.40 
   33  -0.28   0.00  0.42  0.00   93   10  1.00  0.40 
   34  -0.34   0.00  0.48  0.00   92    9  1.00  0.40 
   35  -0.42   0.00  0.54  0.00   97   11  1.00  0.40 
   36  -0.39   0.00  0.62  0.00  103   11  1.00  0.40 
   37  -0.61   0.00  0.75  0.00  104   10  1.00  0.40 
   38  -0.69   0.00  0.81  0.00   99   12  1.00  0.40 
   39  -0.68   0.00  0.83  0.00  100   12  1.00  0.40 
   40  -0.71   0.00  0.82  0.00  103    7  1.00  0.40 
   41  -0.79   0.00  0.85  0.00  116   12  1.00  0.40 
   42  -0.77   0.00  0.92  0.00   91   10  1.00  0.40 
   43  -0.79   0.00  0.94  0.00  107   12  1.00  0.40 
   44  -0.85   0.00  0.97  0.00  105    4  1.00  0.40 
   45  -0.84   0.00  0.94  0.00  101    8  1.00  0.40 
   46  -0.77   0.00  0.99  0.00  110   10  1.00  0.40 
   47  -0.74   0.00  1.01  0.00  106   11  1.00  0.40 
   48  -0.72   0.00  1.04  0.00   94   11  1.00  0.40 
   49  -0.82   0.00  1.02  0.00   94   14  1.00  0.40 
   50  -0.90   0.00  1.00  0.00  100   12  1.00  0.40 
   51  -0.86   0.00  0.96  0.00   85   11  1.00  0.40 
   52  -0.92   0.00  0.91  0.00  109   12  1.00  0.40 
   53  -0.84   0.00  0.84  0.00   90    6  1.00  0.40 
   54  -0.97   0.00  0.89  0.00   98    9  1.00  0.40 
   55  -0.97   0.00  0.94  0.00   81    8  1.00  0.40 
   56  -1.05   0.00  0.91  0.00   89   10  1.00  0.40 
   57  -0.94   0.00  0.85  0.00  106    7  1.00  0.40 
   58  -0.87   0.00  0.78  0.00   96    9  1.00  0.40 
   59  -0.92   0.00  0.81  0.00  106   11  1.00  0.40 
   60  -1.02   0.00  0.86  0.00  101    8  1.00  0.40 
   61  -0.93   0.00  0.78  0.00  103   11  1.00  0.40 
   62  -0.95   0.00  0.81  0.00   99    5  1.00  0.40 
   63  -1.04   0.00  0.90  0.00   87    8  1.00  0.40 
   64  -1.09   0.00  0.97  0.00   93    8  1.00  0.40 
   65  -1.08   0.00  0.97  0.00   91    8  1.00  0.40 
   66  -1.06   0.00  0.94  0.00   93   13  1.00  0.40 
   67  -1.06   0.00  0.93  0.00   96   12  1.00  0.40 
   68  -1.04   0.00  0.91  0.00  104    7  1.00  0.40 
   69  -1.17   0.00  0.91  0.00   91   12  1.00  0.40 
   70  -1.20   0.00  0.94  0.00  108    9  1.00  0.40 
   71  -1.17   0.00  0.93  0.00  103    7  1.00  0.40 
   72  -1.30   0.00  0.97  0.00  105   10  1.00  0.40 
   73  -1.26   0.00  0.97  0.00   96    9  1.00  0.40 
   74  -1.26   0.00  0.97  0.00   96   10  1.00  0.40 
   75  -1.28   0.00  0.99  0.00  110   11  1.00  0.40 
   76  -1.41   0.00  1.02  0.00  102    8  1.00  0.40 
   77  -1.40   0.00  0.99  0.00   99   11  1.00  0.40 
   78  -1.34   0.00  0.97  0.00  111   12  1.00  0.40 
   79  -1.38   0.00  0.97  0.00  103    9  1.00  0.40 
   80  -1.46   0.00  0.98  0.00   95   10  1.00  0.40 
   81  -1.46   0.00  0.97  0.00  107   12  1.00  0.40 
