// Initial random seed:
1615325715347

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'x');
initializeMutationType(1, 0.5, "n", 0, 1);
initializeMutationType(2, 0.5, "n", 0, 1);
initializeGenomicElementType(1, c(m1, m2), c(10, 1));
initializeGenomicElement(g1, 0, 99999);
initializeMutationRate(1e-07);
initializeRecombinationRate(1e-08);

// Starting run at generation <start>:
1 

gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1   0.00   0.00  0.00  0.00   97   12  1.00  0.40 
    2   0.00   0.00  0.00  0.00   87    8  1.00  0.40 
    3   0.00   0.00  0.00  0.00  113    8  1.00  0.40 
    4   0.00   0.00  0.00  0.00   98   10  1.00  0.40 
    5   0.00   0.00  0.00  0.00  103   16  1.00  0.40 
    6   0.00   0.00  0.00  0.00   95    9  1.00  0.40 
    7   0.01   0.00  0.01  0.00  106   12  1.00  0.40 
    8   0.02   0.00  0.03  0.00   96   10  1.00  0.40 
    9   0.02   0.00  0.02  0.00   90   10  1.00  0.40 
   10   0.02   0.00  0.04  0.00  111   12  1.00  0.40 
   11   0.03   0.00  0.06  0.00   86   12  1.00  0.40 
   12   0.04   0.00  0.06  0.00  102   12  1.00  0.40 
   13   0.06   0.00  0.08  0.00  107   11  1.00  0.40 
   14   0.09   0.00  0.12  0.00  107   14  1.00  0.40 
   15   0.13   0.00  0.18  0.00   96   10  1.00  0.40 
   16   0.15   0.00  0.17  0.00  101    6  1.00  0.40 
   17   0.20   0.00  0.20  0.00  109   11  1.00  0.40 
   18   0.23   0.00  0.23  0.00   85   11  1.00  0.40 
   19   0.18   0.00  0.22  0.00  101   13  1.00  0.40 
   20   0.17   0.00  0.22  0.00   98    9  1.00  0.40 
   21   0.16   0.13  0.23  0.07  105   13  1.00  0.40 
   22   0.21   0.57  0.22  0.28  101    6  1.00  0.40 
   23   0.21   0.17  0.23  0.10  101   10  1.00  0.40 
   24   0.26   0.00  0.28  0.00  110    8  1.00  0.40 
   25   0.25   0.00  0.29  0.00   98    6  1.00  0.40 
   26   0.18   0.00  0.22  0.00   97    9  1.00  0.40 
   27   0.15   0.00  0.23  0.00  105   14  1.00  0.40 
   28   0.11   0.00  0.23  0.00  100   12  1.00  0.40 
   29   0.09   0.00  0.26  0.00  103   10  1.00  0.40 
   30   0.13   0.00  0.29  0.00  108    8  1.00  0.40 
   31   0.17   0.00  0.38  0.00   86   11  1.00  0.40 
   32   0.19   0.00  0.39  0.00   99   11  1.00  0.40 
   33   0.18   0.00  0.37  0.00  108   10  1.00  0.40 
   34   0.18   0.00  0.37  0.00  108   11  1.00  0.40 
   35   0.20   0.00  0.40  0.00  107    6  1.00  0.40 
   36   0.18   0.00  0.35  0.00   99    9  1.00  0.40 
   37   0.18   0.00  0.38  0.00  105    8  1.00  0.40 
   38   0.18   0.00  0.38  0.00   91   11  1.00  0.40 
   39   0.20   0.00  0.42  0.00  116   13  1.00  0.40 
   40   0.20   0.00  0.35  0.00   99   11  1.00  0.40 
   41   0.19   0.00  0.29  0.00   90    6  1.00  0.40 
   42   0.19   0.00  0.27  0.00   83    7  1.00  0.40 
   43   0.19   0.00  0.31  0.00   97   13  1.00  0.40 
   44   0.19   0.00  0.31  0.00   97   16  1.00  0.40 
   45   0.17   0.00  0.28  0.00   94   11  1.00  0.40 
   46   0.15   0.00  0.27  0.00  108   11  1.00  0.40 
   47   0.15   0.00  0.26  0.00  103    6  1.00  0.40 
   48   0.13   0.00  0.26  0.00   95    9  1.00  0.40 
   49   0.16   0.00  0.29  0.00   94    6  1.00  0.40 
   50   0.13   0.00  0.24  0.00  103    9  1.00  0.40 
   51   0.19   0.00  0.27  0.00   84    6  1.00  0.40 
   52   0.21   0.00  0.31  0.00  108   11  1.00  0.40 
   53   0.17   0.00  0.25  0.00  116   11  1.00  0.40 
   54   0.24   0.00  0.26  0.00   83   12  1.00  0.40 
   55   0.19   0.00  0.23  0.00  108    7  1.00  0.40 
   56   0.23   0.00  0.30  0.00  102   12  1.00  0.40 
   57   0.25   0.00  0.32  0.00  104   13  1.00  0.40 
   58   0.30   0.00  0.33  0.00   98   10  1.00  0.40 
   59   0.32   0.00  0.32  0.00  109   14  1.00  0.40 
   60   0.26   0.00  0.31  0.00   87    8  1.00  0.40 
   61   0.28   0.00  0.31  0.00   95   10  1.00  0.40 
   62   0.22   0.00  0.31  0.00  110    9  1.00  0.40 
   63   0.27   0.00  0.48  0.00   98   11  1.00  0.40 
   64   0.31   0.00  0.44  0.00   97    8  1.00  0.40 
   65   0.36   0.00  0.42  0.00  104   10  1.00  0.40 
   66   0.49   0.00  0.52  0.00   98    8  1.00  0.40 
   67   0.46   0.00  0.50  0.00   95    9  1.00  0.40 
   68   0.42   0.00  0.49  0.00  102    8  1.00  0.40 
   69   0.43   0.00  0.51  0.00  105   12  1.00  0.40 
   70   0.42   0.00  0.52  0.00   84    8  1.00  0.40 
   71   0.39   0.00  0.59  0.00  113   11  1.00  0.40 
   72   0.36   0.00  0.65  0.00  101    9  1.00  0.40 
   73   0.31   0.00  0.68  0.00  103   11  1.00  0.40 
   74   0.36   0.00  0.58  0.00  102   11  1.00  0.40 
   75   0.31   0.00  0.50  0.00  123   11  1.00  0.40 
