// Initial random seed:
1598853090607

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'x');
initializeMutationType(1, 0.5, "n", 0, 1);
initializeMutationType(2, 0.5, "n", 0, 1);
initializeGenomicElementType(1, c(m1, m2), c(10, 1));
initializeGenomicElement(g1, 0, 99999);
initializeMutationRate(1e-07);
initializeRecombinationRate(1e-08);

// Starting run at generation <start>:
1 

gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
   70   0.67   1.43  1.84  1.09	 9917	 9958  1.00  0.40 
   71   0.49   1.59  1.88  1.13	10090	10035  1.00  0.40 
   72   0.20   1.72  1.92  1.16	10040	10076  1.00  0.40 
   73  -0.14   1.84  1.97  1.19	10097	10116  1.00  0.40 
   74  -0.49   1.95  2.01  1.22	10001	 9922  1.00  0.40 
   75  -0.88   2.05  2.04  1.25	10086	10046  1.00  0.40 
   76  -1.20   2.09  2.06  1.26	10074	 9946  1.00  0.40 
   77  -1.54   2.13  2.09  1.27	10004	 9973  1.00  0.40 
   78  -1.85   2.20  2.11  1.29	 9902	 9985  1.00  0.40 
   79  -2.12   2.23  2.12  1.31	 9931	 9940  1.00  0.40 
   80  -2.36   2.25  2.14  1.32	 9940	 9994  1.00  0.40 
   81  -2.57   2.26  2.14  1.32	 9891	 9965  1.00  0.40 
   82  -2.75   2.26  2.15  1.33	10001	10057  1.00  0.40 
   83  -2.95   2.24  2.16  1.34	 9921	 9971  1.00  0.40 
   84  -3.07   2.21  2.17  1.35	 9869	10012  1.00  0.40 
   85  -3.18   2.16  2.17  1.36	10137	10057  1.00  0.40 
   86  -3.27   2.14  2.18  1.36	10158	10000  1.00  0.40 
   87  -3.33   2.10  2.18  1.37	 9970	 9925  1.00  0.40 
   88  -3.40   2.02  2.19  1.36	10038	 9975  1.00  0.40 
   89  -3.47   1.96  2.20  1.36	10135	 9986  1.00  0.40 
   90  -3.51   1.85  2.22  1.37	 9897	 9995  1.00  0.40 
   91  -3.55   1.74  2.22  1.37	10110	10141  1.00  0.40 
   92  -3.57   1.63  2.23  1.37	 9909	 9957  1.00  0.40 
   93  -3.60   1.48  2.24  1.37	 9875	 9994  1.00  0.40 
   94  -3.62   1.30  2.25  1.36	 9950	 9905  1.00  0.40 
   95  -3.65   1.09  2.27  1.36	 9933	 9913  1.00  0.40 
   96  -3.68   0.86  2.29  1.36	 9949	10047  1.00  0.40 
   97  -3.70   0.61  2.31  1.34	10102	10066  1.00  0.40 
   98  -3.74   0.35  2.33  1.33	10117	10054  1.00  0.40 
   99  -3.77  -0.00  2.35  1.31	 9946	 9934  1.00  0.40 
  100  -3.82  -0.29  2.37  1.27	10114	 9983  1.00  0.40 
#OUT: 100 F
Mutations:
