gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1   0.00   0.00  0.00  0.00 1000   11  1.00  0.40 
    2   0.00   0.00  0.01  0.00  958    6  1.00  0.40 
    3   0.00   0.00  0.01  0.00 1030    6  1.00  0.40 
    4   0.01   0.00  0.02  0.00 1035    9  1.00  0.40 
    5   0.01   0.00  0.03  0.00  991    8  1.00  0.40 
    6   0.01   0.00  0.03  0.00 1021   15  1.00  0.40 
    7   0.01   0.00  0.04  0.00 1019    6  1.00  0.40 
    8   0.02   0.00  0.05  0.00  969    8  1.00  0.40 
    9   0.03   0.00  0.07  0.00 1022    8  1.00  0.40 
   10   0.05   0.00  0.10  0.00  970   12  1.00  0.40 
   11   0.04   0.00  0.10  0.00  965   14  1.00  0.40 
   12   0.03   0.00  0.12  0.00 1004    9  1.00  0.40 
   13   0.05   0.00  0.14  0.00 1040    8  1.00  0.40 
   14   0.05   0.00  0.13  0.00 1036   11  1.00  0.40 
   15   0.05   0.00  0.14  0.00 1016    9  1.00  0.40 
   16   0.05   0.00  0.15  0.00 1012    7  1.00  0.40 
   17   0.05   0.00  0.13  0.00  992   11  1.00  0.40 
   18   0.05   0.00  0.14  0.00  982   13  1.00  0.40 
   19   0.05   0.00  0.15  0.00 1002   12  1.00  0.40 
   20   0.05   0.00  0.15  0.00 1044    8  1.00  0.40 
   21   0.05   0.00  0.15  0.00  977   11  1.00  0.40 
   22   0.04   0.00  0.15  0.00 1018   13  1.00  0.40 
   23   0.04   0.00  0.14  0.00 1003    9  1.00  0.40 
   24   0.05   0.00  0.14  0.00 1006   10  1.00  0.40 
   25   0.05   0.00  0.16  0.00 1012   10  1.00  0.40 
   26   0.05   0.00  0.16  0.00 1006    9  1.00  0.40 
   27   0.04   0.00  0.17  0.00  997   10  1.00  0.40 
   28   0.07   0.00  0.18  0.00 1006    9  1.00  0.40 
   29   0.08   0.00  0.17  0.00 1002   14  1.00  0.40 
   30   0.07   0.00  0.18  0.00 1020   10  1.00  0.40 
   31   0.07   0.00  0.19  0.00  988   10  1.00  0.40 
   32   0.07   0.00  0.18  0.00 1000    7  1.00  0.40 
   33   0.06   0.00  0.19  0.00  990    9  1.00  0.40 
   34   0.07   0.00  0.19  0.00  982   11  1.00  0.40 
   35   0.07   0.00  0.19  0.00 1001   12  1.00  0.40 
