initializeSLiMOptions(dimensionality = 'x');
initializeMutationType(1, 0.5, "n", 0, 1);
initializeMutationType(2, 0.5, "n", 0, 1);
initializeGenomicElementType(1, c(m1, m2), c(10, 1));
initializeGenomicElement(g1, 0, 99999);
initializeMutationRate(1e-07);
initializeRecombinationRate(1e-08);

// Starting run at generation <start>:
1 

gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1   0.00   0.00  0.00  0.00  121   97  1.00  0.40 
    2  -0.00   0.00  0.01  0.00   92  103  1.00  0.40 
    3   0.00   0.00  0.00  0.00   93  103  1.00  0.40 
    4  -0.02   0.00  0.01  0.00  113   91  1.00  0.40 
    5  -0.04   0.00  0.05  0.00  109  113  1.00  0.40 
    6   0.01   0.00  0.08  0.00   98   97  1.00  0.40 
    7  -0.02   0.00  0.08  0.00   93  103  1.00  0.40 
    8   0.01   0.00  0.13  0.00   95   88  1.00  0.40 
    9   0.00   0.00  0.22  0.00   98   88  1.00  0.40 
   10   0.04   0.00  0.26  0.00  113   96  1.00  0.40 
   11   0.07   0.00  0.32  0.00   98  104  1.00  0.40 
   12   0.12   0.00  0.42  0.00  104   95  1.00  0.40 
   13   0.10   0.00  0.46  0.00   92   88  1.00  0.40 
   14   0.15   0.00  0.53  0.00  101   99  1.00  0.40 
   15   0.30   0.00  0.60  0.00   96   94  1.00  0.40 
   16   0.39   0.00  0.65  0.00  106   93  1.00  0.40 
   17   0.56   0.00  0.68  0.00   89   99  1.00  0.40 
   18   0.39   0.00  0.71  0.00  103  103  1.00  0.40 
   19   0.43   0.00  0.71  0.00   99  108  1.00  0.40 
   20   0.47   0.00  0.73  0.00  109  104  1.00  0.40 
   21   0.38   0.00  0.73  0.00   86  107  1.00  0.40 
   22   0.25   0.00  0.73  0.00  103  109  1.00  0.40 
   23   0.37  -0.00  0.75  0.01   96  104  1.00  0.40 
   24   0.41  -0.00  0.77  0.02   99  106  1.00  0.40 
   25   0.44  -0.00  0.77  0.01  114  111  1.00  0.40 
   26   0.49  -0.00  0.75  0.01  100  105  1.00  0.40 
   27   0.39  -0.01  0.75  0.03  107   97  1.00  0.40 
   28   0.40  -0.01  0.76  0.03  102  101  1.00  0.40 
   29   0.55  -0.01  0.78  0.03   97   97  1.00  0.40 
   30   0.64  -0.01  0.75  0.06  103  106  1.00  0.40 
   31   0.64  -0.01  0.80  0.04  106   89  1.00  0.40 
   32   0.66  -0.00  0.82  0.03  102  113  1.00  0.40 
   33   0.73  -0.01  0.81  0.07   93   92  1.00  0.40 
   34   0.82  -0.01  0.79  0.05   94   97  1.00  0.40 
   35   0.90  -0.01  0.77  0.04  112  101  1.00  0.40 
   36   0.80  -0.01  0.81  0.05   99  105  1.00  0.40 
   37   0.98  -0.01  0.82  0.04  102   98  1.00  0.40 
   38   1.06   0.00  0.83  0.04   97   90  1.00  0.40 
   39   1.44   0.00  0.77  0.04   95   95  1.00  0.40 
   40   1.54   0.00  0.84  0.04  103   95  1.00  0.40 
   41   1.57   0.01  0.80  0.04   99  105  1.00  0.40 
   42   1.57   0.02  0.82  0.05   80  105  1.00  0.40 
   43   1.64   0.01  0.81  0.04  102  109  1.00  0.40 
   44   1.59   0.00  0.82  0.03  104  111  1.00  0.40 
   45   1.65   0.01  0.81  0.02   96   96  1.00  0.40 
   46   1.59   0.01  0.77  0.02   89   98  1.00  0.40 
   47   1.76   0.01  0.75  0.01   90  100  1.00  0.40 
   48   1.80   0.01  0.76  0.01  103   99  1.00  0.40 
   49   1.69   0.01  0.75  0.01   95  100  1.00  0.40 
   50   1.78  -0.00  0.78  0.02   94  101  1.00  0.40 
   51   1.79   0.02  0.79  0.02   93   89  1.00  0.40 
