gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
   94  -2.97  -1.30  2.07  1.51 9875 9995  1.00  0.40 
   95  -2.97  -1.71  2.11  1.5510054 9913  1.00  0.40 
   96  -2.94  -2.07  2.13  1.5910000 9877  1.00  0.40 
   97  -2.87  -2.39  2.18  1.6110016 9961  1.00  0.40 
   98  -2.77  -2.63  2.22  1.64 998510019  1.00  0.40 
   99  -2.64  -2.83  2.27  1.65 994410130  1.00  0.40 
  100  -2.52  -3.00  2.33  1.68 9983 9982  1.00  0.40 
  101  -2.31  -3.13  2.37  1.70 985710013  1.00  0.40 
  102  -2.08  -3.22  2.44  1.7110020 9939  1.00  0.40 
  103  -1.91  -3.30  2.49  1.72 9922 9987  1.00  0.40 
  104  -1.71  -3.37  2.53  1.73 9980 9870  1.00  0.40 
  105  -1.42  -3.42  2.58  1.7410046 9967  1.00  0.40 
  106  -1.13  -3.45  2.63  1.751004110113  1.00  0.40 
  107  -0.83  -3.49  2.67  1.77 9830 9953  1.00  0.40 
  108  -0.58  -3.50  2.69  1.771003610015  1.00  0.40 
  109  -0.43  -3.51  2.73  1.77 991710076  1.00  0.40 
  110  -0.21  -3.53  2.77  1.78 9970 9964  1.00  0.40 
  111  -0.00  -3.55  2.79  1.79 9970 9963  1.00  0.40 
  112   0.20  -3.56  2.81  1.80 9990 9969  1.00  0.40 
  113   0.42  -3.57  2.82  1.80 9926 9953  1.00  0.40 
  114   0.59  -3.57  2.84  1.79 9885 9973  1.00  0.40 
  115   0.71  -3.58  2.85  1.80 996910062  1.00  0.40 
  116   0.88  -3.60  2.86  1.81 994110025  1.00  0.40 
  117   1.00  -3.60  2.86  1.81 9867 9919  1.00  0.40 
  118   1.08  -3.61  2.88  1.82 992610062  1.00  0.40 
  119   1.17  -3.62  2.88  1.82 9936 9967  1.00  0.40 
  120   1.28  -3.63  2.89  1.83 9926 9953  1.00  0.40 
  121   1.33  -3.65  2.89  1.84 992110015  1.00  0.40 
  122   1.35  -3.65  2.91  1.84 9973 9954  1.00  0.40 
  123   1.44  -3.65  2.92  1.851004010072  1.00  0.40 
  124   1.51  -3.66  2.94  1.861000410014  1.00  0.40 
  125   1.59  -3.67  2.92  1.86 9908 9957  1.00  0.40 
  126   1.65  -3.68  2.92  1.87 9915 9905  1.00  0.40 
  127   1.65  -3.69  2.92  1.871000810039  1.00  0.40 
  128   1.64  -3.69  2.93  1.88 9978 9837  1.00  0.40 
  129   1.61  -3.69  2.94  1.8810102 9917  1.00  0.40 
  130   1.62  -3.69  2.95  1.881005010066  1.00  0.40 
  131   1.65  -3.71  2.95  1.89 992610000  1.00  0.40 
  132   1.65  -3.71  2.94  1.8910128 9938  1.00  0.40 
  133   1.64  -3.73  2.95  1.9110041 9818  1.00  0.40 
  134   1.68  -3.74  2.96  1.9210023 9987  1.00  0.40 
  135   1.72  -3.74  2.96  1.9210140 9982  1.00  0.40 
  136   1.73  -3.75  2.96  1.9310080 9988  1.00  0.40 
  137   1.77  -3.78  2.97  1.9310010 9912  1.00  0.40 
  138   1.79  -3.79  2.99  1.9410000 9999  1.00  0.40 
  139   1.86  -3.80  2.99  1.9510076 9979  1.00  0.40 
  140   1.93  -3.81  2.98  1.96 9881 9912  1.00  0.40 
  141   1.97  -3.84  2.99  1.971008010025  1.00  0.40 
  142   2.05  -3.84  2.99  1.981000010061  1.00  0.40 
  143   2.07  -3.85  3.00  1.98 994910019  1.00  0.40 
  144   2.14  -3.88  3.00  1.99 9992 9958  1.00  0.40 
  145   2.15  -3.88  3.01  2.0010026 9918  1.00  0.40 
  146   2.20  -3.89  3.01  2.0110040 9964  1.00  0.40 
  147   2.19  -3.90  3.00  2.01 9941 9935  1.00  0.40 
  148   2.20  -3.92  3.00  2.0210060 9927  1.00  0.40 
  149   2.27  -3.94  2.99  2.0310164 9916  1.00  0.40 
  150   2.29  -3.96  2.99  2.0410059 9954  1.00  0.40 
  151   2.35  -3.99  2.99  2.0510025 9997  1.00  0.40 
  152   2.40  -4.03  2.99  2.0710046 9955  1.00  0.40 
  153   2.55  -4.02  2.97  2.071003610071  1.00  0.40 
  154   2.60  -4.03  2.97  2.07 9963 9940  1.00  0.40 
  155   2.62  -4.03  2.97  2.08 9971 9906  1.00  0.40 
  156   2.67  -4.03  2.96  2.081001210018  1.00  0.40 
  157   2.78  -4.04  2.95  2.07 996910090  1.00  0.40 
  158   2.80  -4.07  2.95  2.081009210012  1.00  0.40 
  159   2.82  -4.09  2.95  2.1010018 9876  1.00  0.40 
  160   2.85  -4.07  2.96  2.09 9908 9898  1.00  0.40 
  161   2.85  -4.08  2.95  2.111002710058  1.00  0.40 
  162   2.91  -4.11  2.95  2.1210016 9987  1.00  0.40 
  163   2.95  -4.14  2.95  2.131004710007  1.00  0.40 
  164   2.93  -4.16  2.95  2.14 9903 9946  1.00  0.40 
  165   2.98  -4.17  2.96  2.14 9947 9967  1.00  0.40 
  166   3.06  -4.19  2.97  2.15 9851 9949  1.00  0.40 
  167   3.09  -4.19  2.97  2.1610109 9959  1.00  0.40 
  168   3.13  -4.19  2.96  2.16 9966 9913  1.00  0.40 
